category,symbol,in_140_list,in_112_db,currently_active_in_112,stock_name_in_112,note
NEW_FROM_140,ADITYAINFO,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,ADVAITENERGY,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,AEROFLEC,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,ARISINFRA,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,ASHOKABUILD,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,ATLANTAELECT,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,AUTOCORP,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,B&B,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,BAJAJCONSUM,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,BHARATSEAT,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,BILLIONBRAINS,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,BLUECLOUD,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,CAPRICAP,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,CARRAROIND,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,CEINSYS,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,CIGNITI,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,ENGINEERSIND,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,EXLEOSOLU,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,FINKURVE,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,FREDUNPHARMA,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,FRONTSP,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,GALAPRECI,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,GNGE,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,GRMOVERSEAS,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,GVTD,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,HBL,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,HERITAGEFOOD,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,HPLELEC,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,HYPERFAB,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,IFB,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,INFOSYS,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,JAYSWALNECO,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,JEENASIKHO,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,JMFINANC,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,JYOTIRESIN,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,KILBURN,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,KNOWLEDGEM,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,KPENERGY,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,KRISHANAPHOS,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,KWALITYWALLS,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,LUMAXIND,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,MACFOS,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,MACPOWERCNC,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,MAGELLAN,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,MANAKSIA,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,MANORAMAIND,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,MIRAESMAL,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,MONOTYPEINDIA,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,NATCOPHARMA,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,NIPPONAMC,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,NITAGELATIN,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,PGHYGIENE,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,PNBHOUSING,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,POCL,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,POLYCAB,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,PTC,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,RAMRATNA,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,RASHIPERIP,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,RATTANINDIA,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,RRPDEFENSE,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,RRPSEMI,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,RUBICONRES,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,SAATVIKGREEN,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,SANOFI,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,SGFINSERVE,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,SHAKTIPUMPS,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,SMCGLOBALSEC,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,SONATASOFTWARE,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,SRMCONTRACT,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,STRINGMETAVERSE,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,SUPRIYA,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,SYNCOMFORM,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,TEMBOGLOBAL,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,TILAKNAGAR,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,TIPSFILMS,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,TITANBIOTECH,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,TOURISMFIN,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,UGRO,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,VALIANTLAB,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,VEDANTA,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,WEBSOLENERGY,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
NEW_FROM_140,WPIL,YES,NO,-,-,Add this symbol to universe_112co (is_active=TRUE)
DROP_FROM_112,ADVAIT,NO,YES,True,Advait Energy,Deactivate this symbol (is_active=FALSE) — not in the 140 list
DROP_FROM_112,AEROFLEX,NO,YES,True,Aeroflex Industries,Deactivate this symbol (is_active=FALSE) — not in the 140 list
DROP_FROM_112,AIL,NO,YES,True,Aditya Infotech (CP Plus),Deactivate this symbol (is_active=FALSE) — not in the 140 list
