Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Instrument
500002,ABB India Limited,ABB,ABB India Ltd,Active,A ,2.00,INE117A01022,Equity,,,,,
500003,Aegis Logistics Ltd.,AEGISLOG,Aegis Logistics Ltd,Active,A ,1.00,INE208C01025,Equity,,,,,
500008,Amara Raja Energy & Mobility Limited,ARE&M,Amara Raja Energy & Mobility Ltd,Active,A ,1.00,INE885A01032,Equity,,,,,
500020,Bombay Dyeing & Mfg. Co. Ltd.,BOMDYEING,Bombay Dyeing & Manufacturing Company Ltd,Active,A ,2.00,INE032A01023,Equity,,,,,
500027,Atul Limited.,ATUL,Atul Ltd,Active,A ,10.00,INE100A01010,Equity,,,,,
500031,Bajaj Electricals Ltd.,BAJAJELEC,Bajaj Electricals Ltd-$,Active,A ,2.00,INE193E01025,Equity,,,,,
500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Ltd,Active,A ,1.00,INE306A01021,Equity,,,,,
500033,Force Motors Limited,FORCEMOT,Force Motors Ltd-$,Active,A ,10.00,INE451A01017,Equity,,,,,
500034,Bajaj Finance Limited,BAJFINANCE,Bajaj Finance Ltd,Active,A ,1.00,INE296A01032,Equity,,,,,
500038,Balrampur Chini Mills Ltd.,BALRAMCHIN,Balrampur Chini Mills Ltd,Active,A ,1.00,INE119A01028,Equity,,,,,
500039,Banco Products (India) Ltd.,BANCOINDIA,Banco Products (India) Ltd-$,Active,A ,2.00,INE213C01025,Equity,,,,,
500040,ADITYA BIRLA REAL ESTATE LIMITED,ABREL,Aditya Birla Real Estate Ltd,Active,A ,10.00,INE055A01016,Equity,,,,,
500042,BASF India Ltd,BASF,BASF India Ltd,Active,A ,10.00,INE373A01013,Equity,,,,,
500043,Bata India Limited,BATAINDIA,Bata India Ltd,Active,A ,5.00,INE176A01028,Equity,,,,,
500048,BEML Ltd,BEML,BEML Ltd,Active,A ,5.00,INE258A01024,Equity,,,,,
500049,Bharat Electronics Ltd.,BEL,Bharat Electronics Ltd,Active,A ,1.00,INE263A01024,Equity,,,,,
500067,Blue Star Ltd,BLUESTARCO,Blue Star Ltd,Active,A ,2.00,INE472A01039,Equity,,,,,
500084,CESC Limited,CESC,CESC Ltd,Active,A ,1.00,INE486A01021,Equity,,,,,
500085,Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,Active,A ,10.00,INE085A01013,Equity,,,,,
500086,Exide Industries Ltd.,EXIDEIND,Exide Industries Ltd,Active,A ,1.00,INE302A01020,Equity,,,,,
500087,Cipla Ltd.,CIPLA,Cipla Ltd,Active,A ,2.00,INE059A01026,Equity,,,,,
500092,CRISIL Ltd.,CRISIL,CRISIL Ltd,Active,A ,1.00,INE007A01025,Equity,,,,,
500093,CG Power and Industrial Solutions Limited,CGPOWER,CG Power and Industrial Solutions Ltd,Active,A ,2.00,INE067A01029,Equity,,,,,
500096,Dabur India Ltd.,DABUR,Dabur India Ltd,Active,A ,1.00,INE016A01026,Equity,,,,,
500101,Arvind Ltd.,ARVIND,Arvind Ltd,Active,A ,10.00,INE034A01011,Equity,,,,,
500103,Bharat Heavy Electricals Ltd.,BHEL,Bharat Heavy Electricals Ltd,Active,A ,2.00,INE257A01026,Equity,,,,,
500104,Hindustan Petroleum Corporation Ltd,HINDPETRO,Hindustan Petroleum Corporation Ltd,Active,A ,10.00,INE094A01015,Equity,,,,,
500106,IFCI Ltd.,IFCI,IFCI Ltd,Active,A ,10.00,INE039A01010,Equity,,,,,
500109,Mangalore Refinery & Petrochemicals,MRPL,Mangalore Refinery and Petrochemicals Ltd,Active,A ,10.00,INE103A01014,Equity,,,,,
500110,Chennai Petroleum Corporation Ltd.,CHENNPETRO,Chennai Petroleum Corporation Ltd,Active,A ,10.00,INE178A01016,Equity,,,,,
