symbol,signal_date,breakout_level,atr_14,entry_date,entry_price,regime
360ONE,2020-02-10,295.8879,11.244785714285724,2020-02-11,315.9692,BULL
360ONE,2020-02-13,321.5904,12.76150714285715,2020-02-14,327.2527,BULL
360ONE,2021-02-08,244.789,9.330371428571429,2021-02-09,257.1461,BULL
360ONE,2021-04-01,276.1679,11.164571428571422,2021-04-05,287.8288,BULL
360ONE,2021-07-16,286.7,11.700842857142849,2021-07-19,303.8735,BULL
360ONE,2021-08-04,328.1269,20.771357142857138,2021-08-05,336.5656,BULL
360ONE,2021-10-18,374.84,11.960400000000002,2021-10-19,371.0759,BULL
360ONE,2021-10-21,391.644,13.733628571428568,2021-10-22,352.5468,BULL
360ONE,2022-09-08,405.9095,10.542042857142848,2022-09-09,405.724,BULL
360ONE,2022-09-20,435.3669,16.335778571428566,2022-09-21,435.4829,BULL
360ONE,2023-01-19,446.5536,12.70181428571429,2023-01-20,450.1245,BULL
360ONE,2023-07-12,475.8358,17.208935714285722,2023-07-13,479.1296,BULL
360ONE,2023-09-11,507.6284,15.76352857142857,2023-09-12,525.2373,BULL
360ONE,2023-11-15,534.0419,16.28315714285714,2023-11-16,526.4504,BULL
360ONE,2023-11-30,552.5258,16.827021428571395,2023-12-01,567.8416,BULL
360ONE,2023-12-04,569.9741,19.618807142857115,2023-12-05,589.4579,BULL
360ONE,2023-12-06,614.0791,22.166799999999974,2023-12-07,621.3492,BULL
360ONE,2024-02-13,653.8382,24.26397142857143,2024-02-14,691.0846,BULL
360ONE,2024-02-14,681.4679,24.54664285714286,2024-02-15,696.6983,BULL
360ONE,2024-02-26,727.2571,28.98260714285714,2024-02-27,730.1371,BULL
360ONE,2024-04-12,730.6743,23.86392857142855,2024-04-15,722.3755,BULL
360ONE,2024-04-18,746.881,33.80839999999997,2024-04-19,771.8746,BULL
360ONE,2024-06-26,847.8089,30.559121428571448,2024-06-27,916.6536,BULL
360ONE,2024-06-27,882.1333,32.54151428571431,2024-06-28,961.2262,BULL
360ONE,2024-06-28,926.6567,40.530664285714316,2024-07-01,954.2142,BULL
360ONE,2024-07-29,1018.9399,43.37113571428572,2024-07-30,1081.2631,BULL
360ONE,2024-07-30,1058.1677,43.66184285714286,2024-07-31,1110.4387,BULL
360ONE,2024-07-31,1091.5113,44.887714285714296,2024-08-01,1077.9287,BULL
360ONE,2024-11-21,1057.3942,39.12647857142855,2024-11-22,1064.178,BEAR
360ONE,2024-11-27,1096.8683,36.98458571428572,2024-11-28,1105.6675,BULL
360ONE,2024-12-03,1130.6399,39.200207142857145,2024-12-04,1109.4036,BULL
360ONE,2024-12-10,1157.8735,41.50359285714285,2024-12-11,1190.7113,BULL
360ONE,2024-12-11,1189.6298,41.27184285714285,2024-12-12,1179.11,BULL
360ONE,2024-12-16,1205.3113,42.77116428571427,2024-12-17,1230.7753,BULL
360ONE,2025-06-05,1035.4919,35.59700714285712,2025-06-06,1053.2974,BULL
360ONE,2025-06-13,1112.847,46.97983571428569,2025-06-16,1156.9653,BULL
360ONE,2025-06-16,1137.5769,50.45614999999997,2025-06-17,1133.8181,BULL
360ONE,2025-10-14,1093.8546,25.203335714285725,2025-10-15,1147.8647,BULL
360ONE,2025-10-15,1119.3758,27.096928571428595,2025-10-16,1159.1416,BULL
360ONE,2025-10-20,1169.4292,29.117728571428593,2025-10-21,1162.7026,BULL
360ONE,2025-11-28,1167.1249,32.77404285714287,2025-12-01,1182.436,BULL
360ONE,2026-08-05,1174.0,33.94285714285714,2026-08-06,1185.7,BULL
360ONE,2026-08-20,1197.0,30.450000000000014,2026-08-21,1199.0,BEAR
3MINDIA,2005-05-02,513.7383,22.57141428571429,2005-05-03,565.716,
3MINDIA,2005-05-03,538.7749,25.033264285714292,2005-05-04,571.1507,
3MINDIA,2005-05-16,594.5615,26.65905,2005-05-17,641.8013,
3MINDIA,2005-05-17,641.6155,33.48722142857143,2005-05-18,662.5181,
3MINDIA,2005-05-19,695.8228,37.720814285714276,2005-05-20,702.0471,
3MINDIA,2005-07-11,742.2729,40.18930714285715,2005-07-12,800.2427,
3MINDIA,2005-09-06,780.362,26.07179999999998,2005-09-08,822.3065,
3MINDIA,2005-12-07,762.711,23.799064285714287,2005-12-08,815.4318,
3MINDIA,2005-12-08,812.8771,24.850828571428583,2005-12-09,808.9753,
3MINDIA,2005-12-12,825.8831,28.71282857142857,2005-12-13,845.485,
3MINDIA,2006-01-24,863.9722,27.491828571428602,2006-01-25,863.4612,
3MINDIA,2006-02-15,959.3807,45.103064285714275,2006-02-16,1059.713,
3MINDIA,2006-02-16,963.3754,50.192678571428566,2006-02-17,1006.7598,
3MINDIA,2006-02-24,1122.1421,63.18212857142857,2006-02-27,1202.7792,
3MINDIA,2006-02-27,1178.2538,65.34205,2006-02-28,1208.5856,
3MINDIA,2006-03-07,1309.429,59.5656428571429,2006-03-08,1388.9514,
3MINDIA,2006-08-14,1077.6427,34.197257142857154,2006-08-16,1125.9974,
