symbol,strategy,event,signal_date,regime,ret_5d,ret_10d,ret_20d,ret_60d,MAE,MFE
360ONE,D1,BREAKOUT,2019-10-27,Sideways,-0.00937405104236812,-0.04624556995927852,0.0010501954970603823,0.02545102011177182,,
360ONE,D2,BREAKOUT,2019-10-27,Sideways,-0.00937405104236812,-0.04624556995927852,0.0010501954970603823,0.02545102011177182,,
360ONE,D2,BROKER_STOP_OUT,2019-12-09,Bull,,,,,-0.09481560279674914,0.044755529652745124
360ONE,D2,STRUCTURAL_INVALIDATION,2019-12-09,Bull,,,,,-0.09481560279674914,0.044755529652745124
360ONE,D1,BROKER_STOP_OUT,2019-12-24,Bull,,,,,-0.1743498048801649,0.044755529652745124
360ONE,D2,BREAKOUT,2020-01-03,Bull,-0.05315637432792249,0.13758432452993122,0.12410268008594366,-0.13558952638450553,,
360ONE,D2,BROKER_STOP_OUT,2020-01-06,Bull,,,,,-0.053451214622762755,0.0016415654909379069
360ONE,D2,STRUCTURAL_INVALIDATION,2020-01-06,Bull,,,,,-0.053451214622762755,0.0016415654909379069
360ONE,W,BREAKOUT,2020-01-17,Bull,-0.05257274019699466,-0.03229448097738359,0.1295616613708065,-0.3582341421556134,,
360ONE,D2,BREAKOUT,2020-01-17,Bull,-0.05257274019699466,-0.03229448097738359,0.1295616613708065,-0.3582341421556134,,
360ONE,D2,BROKER_STOP_OUT,2020-03-13,Bear,,,,,-0.22763171682157768,0.2150724569959163
360ONE,D2,STRUCTURAL_INVALIDATION,2020-03-17,Bear,,,,,-0.22763171682157768,0.2150724569959163
360ONE,D1,STRUCTURAL_INVALIDATION,2020-03-18,Bear,,,,,-0.2865083451687801,0.29478655644140656
360ONE,W,BROKER_STOP_OUT,2020-03-19,Bear,,,,,-0.4210707974375966,0.2150724569959163
360ONE,W,STRUCTURAL_INVALIDATION,2020-05-15,Bear,,,,,-0.474231533873681,0.2150724569959163
360ONE,D1,BREAKOUT,2020-06-01,Bull,0.11157412146255001,0.08095797350515299,0.13546689221585917,0.26548881861427304,,
360ONE,D2,BREAKOUT,2020-06-01,Bull,0.11157412146255001,0.08095797350515299,0.13546689221585917,0.26548881861427304,,
360ONE,D2,BROKER_STOP_OUT,2020-06-02,Bull,,,,,-0.026781991261764636,0.016835918349755702
360ONE,D2,STRUCTURAL_INVALIDATION,2020-06-02,Bull,,,,,-0.026781991261764636,0.016835918349755702
360ONE,D2,BREAKOUT,2020-06-04,Bull,-0.008963577088004484,0.022945764151154197,0.007221514571399557,0.12516033877852017,,
360ONE,D2,BROKER_STOP_OUT,2020-07-13,Bull,,,,,-0.05219235190854664,0.22413412093628418
360ONE,W,BREAKOUT,2020-12-10,Bull,-0.011808742906203965,-0.04624251403735371,0.0008501729288854742,0.16850745602542386,,
3MINDIA,D1,BREAKOUT,2002-08-23,Sideways,0.04812467221419585,0.02173925469903739,0.05177550941665214,-0.0041488572690208045,,
3MINDIA,D2,BREAKOUT,2002-08-23,Sideways,0.04812467221419585,0.02173925469903739,0.05177550941665214,-0.0041488572690208045,,
3MINDIA,D1,BROKER_STOP_OUT,2002-10-23,Sideways,,,,,-0.05808150094816731,0.10172613612167426
3MINDIA,D2,BROKER_STOP_OUT,2002-10-23,Sideways,,,,,-0.05808150094816731,0.10172613612167426
3MINDIA,D1,STRUCTURAL_INVALIDATION,2003-02-06,Sideways,,,,,-0.05808150094816731,0.10172613612167426
3MINDIA,D2,STRUCTURAL_INVALIDATION,2003-02-06,Sideways,,,,,-0.05808150094816731,0.10172613612167426
3MINDIA,D1,BREAKOUT,2003-04-22,Sideways,0.031636680763251,0.0912729043399841,0.12218192265719305,0.2185457241317762,,
3MINDIA,D2,BREAKOUT,2003-04-22,Sideways,0.031636680763251,0.0912729043399841,0.12218192265719305,0.2185457241317762,,
3MINDIA,W,BREAKOUT,2003-05-15,Sideways,0.05279609881426989,0.02384880214236621,0.0802633130406241,0.12500004426083866,,
500023,W,BREAKOUT,2024-07-02,Bull,-0.0012738853503183988,0.08280254777070063,0.2671974522292993,0.339171974522293,,
500023,D1,BREAKOUT,2024-07-02,Bull,-0.0012738853503183988,0.08280254777070063,0.2671974522292993,0.339171974522293,,
500023,D2,BREAKOUT,2024-07-02,Bull,-0.0012738853503183988,0.08280254777070063,0.2671974522292993,0.339171974522293,,
500039,D1,BREAKOUT,2024-05-23,Bull,-0.0635536525308336,-0.056794392268792515,0.040400987306203714,0.024473602423829614,,
500039,D2,BREAKOUT,2024-05-23,Bull,-0.0635536525308336,-0.056794392268792515,0.040400987306203714,0.024473602423829614,,
500039,D2,BROKER_STOP_OUT,2024-05-30,Bull,,,,,-0.08018039571668474,0.017791793386387523
500039,D2,STRUCTURAL_INVALIDATION,2024-05-31,Bull,,,,,-0.09377669564852109,0.017791793386387523
500039,D1,BROKER_STOP_OUT,2024-06-04,Sideways,,,,,-0.19648817769411295,0.017791793386387523
500039,D1,STRUCTURAL_INVALIDATION,2024-06-04,Sideways,,,,,-0.19648817769411295,0.017791793386387523
500039,D1,BREAKOUT,2024-06-20,Bull,0.05826177306481669,0.03902096319785486,0.054028950942827,0.05248959512503731,,
500039,D2,BREAKOUT,2024-06-20,Bull,0.05826177306481669,0.03902096319785486,0.054028950942827,0.05248959512503731,,
500039,W,BREAKOUT,2024-06-25,Bull,0.023233648011940732,0.03404175099902216,0.011102211591109036,0.012793258422080973,,
500041,D1,BREAKOUT,2024-05-02,Bull,-0.09216369438339973,-0.07667280840557852,-0.18116362172552494,0.1510726777971891,,
500041,D2,BREAKOUT,2024-05-02,Bull,-0.09216369438339973,-0.07667280840557852,-0.18116362172552494,0.1510726777971891,,
500041,D1,BROKER_STOP_OUT,2024-05-06,Bull,,,,,-0.08363639186852899,0.0
500041,D1,STRUCTURAL_INVALIDATION,2024-05-09,Sideways,,,,,-0.09254547782367395,0.0
500041,D2,BROKER_STOP_OUT,2024-05-22,Bull,,,,,-0.12709092810766953,0.0
500041,D2,STRUCTURAL_INVALIDATION,2024-05-23,Bull,,,,,-0.12709092810766953,0.0
500041,D1,BREAKOUT,2024-06-11,Bull,0.20842944523099446,0.2459642613504674,0.3223659119897193,0.347017983049281,,
500041,D2,BREAKOUT,2024-06-11,Bull,0.20842944523099446,0.2459642613504674,0.3223659119897193,0.347017983049281,,
500041,W,BREAKOUT,2024-06-13,Bull,0.19005487240087462,0.1287014394926868,0.1555684080064733,0.2201600475635242,,
500083,D1,BREAKOUT,2024-05-14,Bull,-0.020725388601036378,-0.03575129533678763,0.12642487046632112,0.2953367875647668,,
500083,D2,BREAKOUT,2024-05-14,Bull,-0.020725388601036378,-0.03575129533678763,0.12642487046632112,0.2953367875647668,,
500083,D2,BROKER_STOP_OUT,2024-05-15,Sideways,,,,,-0.04093264248704659,0.04559585492227974
500083,D2,STRUCTURAL_INVALIDATION,2024-05-15,Sideways,,,,,-0.04093264248704659,0.04559585492227974
500083,D2,BREAKOUT,2024-06-12,Bull,-0.044347826086956504,-0.09391304347826088,0.31304347826086953,0.1395652173913044,,
500083,W,BREAKOUT,2024-07-05,Bull,0.08607021517553799,-0.06983767459418641,-0.07059267648169111,-0.1234428086070215,,
500083,D2,BROKER_STOP_OUT,2025-02-18,Bear,,,,,-0.1913043478260869,0.32608695652173914
500083,D2,STRUCTURAL_INVALIDATION,2025-02-28,Bear,,,,,-0.22826086956521738,0.32608695652173914
500083,D1,BROKER_STOP_OUT,2025-03-03,Bear,,,,,-0.17046632124352326,0.5803108808290155
500083,D1,STRUCTURAL_INVALIDATION,2025-03-03,Bear,,,,,-0.17046632124352326,0.5803108808290155
500083,W,BROKER_STOP_OUT,2025-03-04,Bear,,,,,-0.42015855039637595,0.1513778784446962
500083,D1,BREAKOUT,2025-05-16,Bull,0.054845580404685706,0.09105431309904138,0.06230031948881779,0.14802981895633638,,
500083,D2,BREAKOUT,2025-05-16,Bull,0.054845580404685706,0.09105431309904138,0.06230031948881779,0.14802981895633638,,
500083,D2,BROKER_STOP_OUT,2025-05-21,Bull,,,,,-0.06656017039403621,0.11608093716719912
500083,D2,STRUCTURAL_INVALIDATION,2026-03-04,Bear,,,,,-0.08146964856230038,0.8530351437699678
500089,D1,BREAKOUT,2024-04-23,Bull,-0.033300773318641175,-0.03926671920170167,0.02907045914010821,0.1859204642984926,,
500089,D2,BREAKOUT,2024-04-23,Bull,-0.033300773318641175,-0.03926671920170167,0.02907045914010821,0.1859204642984926,,
500089,W,BREAKOUT,2024-06-18,Bull,0.011749149104443642,-0.028950230551135242,-0.020866770317354497,0.3902621484908326,,
500123,D1,BREAKOUT,2024-04-18,Sideways,0.12098658888120366,0.16633048147865376,0.11197326213883559,0.154773236290837,,
500123,D2,BREAKOUT,2024-04-18,Sideways,0.12098658888120366,0.16633048147865376,0.11197326213883559,0.154773236290837,,
500123,W,BREAKOUT,2024-10-03,Bull,0.08865724544482637,-0.010854773215835185,0.0278242490092915,-0.039567629103195036,,
500123,W,BROKER_STOP_OUT,2025-01-14,Bear,,,,,-0.1791216893536638,0.12802905081873706
500123,W,STRUCTURAL_INVALIDATION,2025-01-24,Bear,,,,,-0.21685564693962758,0.12802905081873706
500123,D2,BROKER_STOP_OUT,2025-02-18,Bear,,,,,-0.10224810703540937,0.5402871309277272
500123,D2,STRUCTURAL_INVALIDATION,2025-02-19,Bear,,,,,-0.13103339310339993,0.5402871309277272
500123,D1,BROKER_STOP_OUT,2025-02-24,Bear,,,,,-0.14131568987917076,0.5402871309277272
500123,D1,STRUCTURAL_INVALIDATION,2025-02-24,Bear,,,,,-0.14131568987917076,0.5402871309277272
500123,D1,BREAKOUT,2025-03-06,Bear,0.07833707767610802,0.0705942481139556,0.060437251319181325,0.12377099320714859,,
500123,D2,BREAKOUT,2025-03-06,Bear,0.07833707767610802,0.0705942481139556,0.060437251319181325,0.12377099320714859,,
500123,D2,BROKER_STOP_OUT,2025-03-07,Bear,,,,,0.0,0.0591574877383297
500123,D2,STRUCTURAL_INVALIDATION,2025-03-07,Bear,,,,,0.0,0.0591574877383297
500123,D2,BREAKOUT,2025-03-07,Bear,-0.01900596690335696,-0.01884419435713568,-0.011315638456716272,0.05811447489254864,,
500123,D2,BROKER_STOP_OUT,2025-03-10,Bear,,,,,-0.02112452341054992,0.03761755124251147
500123,D2,STRUCTURAL_INVALIDATION,2025-03-11,Bear,,,,,-0.03933667548572958,0.03761755124251147
500123,D2,BREAKOUT,2025-04-22,Bull,-0.07224830297219566,-0.1313710642377756,-0.11139020134228195,0.34292905081495684,,
500123,D2,BROKER_STOP_OUT,2025-04-24,Bull,,,,,-0.06999518696069038,0.0
500123,D2,STRUCTURAL_INVALIDATION,2025-04-25,Bull,,,,,-0.08906044103547464,0.0
500123,D2,BREAKOUT,2025-05-26,Bull,0.05950209055573069,0.09843994117029108,0.2004516861014812,0.18237209790944428,,
500123,D2,BROKER_STOP_OUT,2025-05-27,Bull,,,,,-0.011230213257695182,0.024267254963756698
500123,W,BREAKOUT,2025-06-11,Bull,0.03306590262889869,0.16826155648113894,0.1765577292739557,0.036909918866095154,,
500123,D2,STRUCTURAL_INVALIDATION,2025-11-19,Bull,,,,,-0.01764891270091396,0.49700598802395207
500123,D2,BREAKOUT,2025-12-16,Bull,0.01590627083333326,-0.020479124999999952,-0.08471354166666667,-0.220234375,,
500123,D2,BROKER_STOP_OUT,2025-12-17,Bull,,,,,-0.025270791666666622,0.009187520833333261
500123,D2,STRUCTURAL_INVALIDATION,2025-12-17,Bull,,,,,-0.025270791666666622,0.009187520833333261
500123,D2,BREAKOUT,2025-12-26,Bull,-0.047760677932420864,-0.07455944302096308,-0.1051597956561678,,,
500123,D2,BROKER_STOP_OUT,2026-01-01,Bull,,,,,-0.06091649624580767,0.0
500123,D2,STRUCTURAL_INVALIDATION,2026-01-01,Bull,,,,,-0.06091649624580767,0.0
500123,W,BROKER_STOP_OUT,2026-01-29,Sideways,,,,,-0.23737755799722293,0.35418938299558544
500123,W,STRUCTURAL_INVALIDATION,2026-01-30,Sideways,,,,,-0.23737755799722293,0.35418938299558544
500123,D1,BROKER_STOP_OUT,2026-02-02,Bear,,,,,-0.1635965574179953,0.5335596279031184
500123,D1,STRUCTURAL_INVALIDATION,2026-02-02,Bear,,,,,-0.1635965574179953,0.5335596279031184
500123,D1,BREAKOUT,2026-02-11,Bull,-0.02074248029581231,-0.026144512695556052,-0.16268902561208168,,,
500123,D2,BREAKOUT,2026-02-11,Bull,-0.02074248029581231,-0.026144512695556052,-0.16268902561208168,,,
500123,D2,BROKER_STOP_OUT,2026-02-13,Sideways,,,,,-0.06236552578315273,0.030484296386066
500123,D2,STRUCTURAL_INVALIDATION,2026-03-02,Bear,,,,,-0.11388445007483121,0.030484296386066
500123,D1,BROKER_STOP_OUT,2026-03-06,Bear,,,,,-0.15553405443578983,0.030484296386066
500123,D1,STRUCTURAL_INVALIDATION,2026-03-06,Bear,,,,,-0.15553405443578983,0.030484296386066
500128,D1,BREAKOUT,2024-04-22,Bull,-0.05743711389382236,-0.11806589777793039,-0.17353921347492202,0.036082302264591935,,
500128,D2,BREAKOUT,2024-04-22,Bull,-0.05743711389382236,-0.11806589777793039,-0.17353921347492202,0.036082302264591935,,
500128,D2,BROKER_STOP_OUT,2024-05-09,Sideways,,,,,-0.17010306455090315,0.021109336854626758
500128,D2,STRUCTURAL_INVALIDATION,2024-05-09,Sideways,,,,,-0.17010306455090315,0.021109336854626758
500128,D1,BROKER_STOP_OUT,2024-05-30,Bull,,,,,-0.23711319673384113,0.021109336854626758
500128,D1,STRUCTURAL_INVALIDATION,2024-05-30,Bull,,,,,-0.23711319673384113,0.021109336854626758
500128,D1,BREAKOUT,2024-07-01,Bull,-0.025379420155244498,-0.013605254428448227,0.1169545545014265,0.10675034830491609,,
500128,D2,BREAKOUT,2024-07-01,Bull,-0.025379420155244498,-0.013605254428448227,0.1169545545014265,0.10675034830491609,,
500128,W,BREAKOUT,2024-07-15,Bull,0.03480366785643793,0.06299025859252991,-0.019362992595376813,-0.008823598140715164,,
500128,D1,BROKER_STOP_OUT,2024-10-22,Sideways,,,,,-0.1514915411663239,0.23835679692164802
500128,D1,STRUCTURAL_INVALIDATION,2024-10-22,Sideways,,,,,-0.1514915411663239,0.23835679692164802
500128,D2,BROKER_STOP_OUT,2024-10-22,Sideways,,,,,-0.1514915411663239,0.23835679692164802
500128,D2,STRUCTURAL_INVALIDATION,2024-10-22,Sideways,,,,,-0.1514915411663239,0.23835679692164802
500128,W,BROKER_STOP_OUT,2024-11-11,Sideways,,,,,-0.29607852788554334,0.16004884376409215
500128,W,STRUCTURAL_INVALIDATION,2024-11-22,Sideways,,,,,-0.31004901777994553,0.16004884376409215
500128,D1,BREAKOUT,2024-12-03,Bull,0.021580697788843244,-0.07902749055717294,-0.13252266216814465,-0.3795745147872882,,
500128,D2,BREAKOUT,2024-12-03,Bull,0.021580697788843244,-0.07902749055717294,-0.13252266216814465,-0.3795745147872882,,
500128,D2,BROKER_STOP_OUT,2024-12-04,Bull,,,,,-0.03100317782110237,0.009118509174000873
500128,D2,STRUCTURAL_INVALIDATION,2024-12-04,Bull,,,,,-0.03100317782110237,0.009118509174000873
500128,D2,BREAKOUT,2024-12-09,Bull,-0.11386878952296732,-0.1842335157724662,-0.2627739474312329,-0.42248212378814,,
500128,D2,BROKER_STOP_OUT,2024-12-10,Bull,,,,,-0.03970820004773698,0.0
500128,D2,STRUCTURAL_INVALIDATION,2024-12-10,Bull,,,,,-0.03970820004773698,0.0
500128,D1,BROKER_STOP_OUT,2024-12-23,Sideways,,,,,-0.16352583998924702,0.04103359956987818
500128,D1,STRUCTURAL_INVALIDATION,2024-12-23,Sideways,,,,,-0.16352583998924702,0.04103359956987818
500128,D1,BREAKOUT,2025-04-21,Bull,-0.04580593768843834,-0.11193780652230091,0.038934805059801764,0.11079277906777543,,
500128,D2,BREAKOUT,2025-04-21,Bull,-0.04580593768843834,-0.11193780652230091,0.038934805059801764,0.11079277906777543,,
500128,D2,BROKER_STOP_OUT,2025-04-28,Bull,,,,,-0.033686843218349895,0.06861356823657057
500128,D2,STRUCTURAL_INVALIDATION,2025-04-28,Bull,,,,,-0.033686843218349895,0.06861356823657057
500128,D1,BROKER_STOP_OUT,2025-05-07,Bull,,,,,-0.13951719138219237,0.06861356823657057
500128,D1,STRUCTURAL_INVALIDATION,2025-05-08,Bull,,,,,-0.1542128396003341,0.06861356823657057
500128,D1,BREAKOUT,2025-05-16,Bull,-0.04363243099714281,-0.03736024022960845,0.129442417637736,-0.0867845134142643,,
500128,D2,BREAKOUT,2025-05-16,Bull,-0.04363243099714281,-0.03736024022960845,0.129442417637736,-0.0867845134142643,,
500128,W,BREAKOUT,2025-05-19,Bull,-0.0672812749117413,-0.04605291253843521,0.12017512954105455,-0.11029495501651292,,
500128,D2,BROKER_STOP_OUT,2025-08-07,Sideways,,,,,-0.11099002516067712,0.2607942439304131
500128,D2,STRUCTURAL_INVALIDATION,2025-08-29,Sideways,,,,,-0.11099002516067712,0.2607942439304131
500128,D1,BROKER_STOP_OUT,2025-11-07,Bull,,,,,-0.20369084728510853,0.2607942439304131
500128,D1,STRUCTURAL_INVALIDATION,2025-11-10,Bull,,,,,-0.22415867545492513,0.2607942439304131
500128,W,BROKER_STOP_OUT,2025-11-18,Bull,,,,,-0.30158153968796264,0.21666631078464876
500128,W,STRUCTURAL_INVALIDATION,2025-11-21,Bull,,,,,-0.3327212162623847,0.21666631078464876
500128,D1,BREAKOUT,2025-12-23,Bull,-0.0045307443365695055,-0.09139158576051783,-0.09449838187702261,,,
500128,D2,BREAKOUT,2025-12-23,Bull,-0.0045307443365695055,-0.09139158576051783,-0.09449838187702261,,,
500128,D2,BROKER_STOP_OUT,2025-12-24,Bull,,,,,-0.013592233009708701,0.009838187702265438
500128,D2,STRUCTURAL_INVALIDATION,2025-12-24,Bull,,,,,-0.013592233009708701,0.009838187702265438
500128,D1,BROKER_STOP_OUT,2026-01-08,Sideways,,,,,-0.08064724919093856,0.04841423948220058
