ticker,name,sector,industry,fiscal_year,revenue,ebitda,pat,roce,capex,employee_cost,total_assets,pe,ev_ebitda,pb,debt_equity
TCS,Tata Consultancy Services,IT,IT Services,2022,,,,,,,,17.035213,11.463,7.3863587,10.389
TCS,Tata Consultancy Services,IT,IT Services,2023,2254580000000.0,627080000000.0,421470000000.0,0.576324,-31000000000.0,,1436510000000.0,17.035213,11.463,7.3863587,10.389
TCS,Tata Consultancy Services,IT,IT Services,2024,2408930000000.0,677600000000.0,459080000000.0,0.625592,-26740000000.0,,1464490000000.0,17.035213,11.463,7.3863587,10.389
TCS,Tata Consultancy Services,IT,IT Services,2025,2553240000000.0,713690000000.0,485530000000.0,0.620165,-39370000000.0,,1596290000000.0,17.035213,11.463,7.3863587,10.389
TCS,Tata Consultancy Services,IT,IT Services,2026,2670210000000.0,722740000000.0,492100000000.0,0.549276,-41460000000.0,,1823720000000.0,17.035213,11.463,7.3863587,10.389
INFY,Infosys,IT,IT Services,2022,,,,,,873000000.0,,15.221617,1072.82,5.143902,9.827
INFY,Infosys,IT,IT Services,2023,18212000000.0,4684000000.0,2981000000.0,0.394575,-319000000.0,905000000.0,15312000000.0,15.221617,1072.82,5.143902,9.827
INFY,Infosys,IT,IT Services,2024,18562000000.0,4967000000.0,3167000000.0,0.370788,-266000000.0,985000000.0,16523000000.0,15.221617,1072.82,5.143902,9.827
INFY,Infosys,IT,IT Services,2025,19277000000.0,5065000000.0,3158000000.0,0.362376,-263000000.0,1016000000.0,17419000000.0,15.221617,1072.82,5.143902,9.827
INFY,Infosys,IT,IT Services,2026,20158000000.0,5105000000.0,3313000000.0,0.41656,-306000000.0,,16446000000.0,15.221617,1072.82,5.143902,9.827
WIPRO,Wipro,IT,IT Services,2022,790934000000.0,187511000000.0,122191000000.0,0.203152,-20153000000.0,67629000000.0,1079182000000.0,16.184063,10.151,2.3724477,22.853
WIPRO,Wipro,IT,IT Services,2023,904876000000.0,188883000000.0,113500000000.0,0.171222,-14834000000.0,80885000000.0,1175822000000.0,16.184063,10.151,2.3724477,22.853
WIPRO,Wipro,IT,IT Services,2024,897603000000.0,189541000000.0,110452000000.0,0.172744,-10510000000.0,89835000000.0,1152459000000.0,16.184063,10.151,2.3724477,22.853
WIPRO,Wipro,IT,IT Services,2025,890884000000.0,213783000000.0,131354000000.0,0.184155,-15037000000.0,80677000000.0,1286520000000.0,16.184063,10.151,2.3724477,22.853
HCLTECH,HCL Technologies,IT,IT Services,2022,,,,,,,,18.976198,1085.873,4.207085,6.935
HCLTECH,HCL Technologies,IT,IT Services,2023,1014560000000.0,239860000000.0,148510000000.0,0.275646,-16610000000.0,,934110000000.0,18.976198,1085.873,4.207085,6.935
HCLTECH,HCL Technologies,IT,IT Services,2024,1099130000000.0,256930000000.0,157020000000.0,0.279296,-10480000000.0,,997770000000.0,18.976198,1085.873,4.207085,6.935
HCLTECH,HCL Technologies,IT,IT Services,2025,1170550000000.0,279890000000.0,173900000000.0,0.308432,-11080000000.0,,1055440000000.0,18.976198,1085.873,4.207085,6.935
HCLTECH,HCL Technologies,IT,IT Services,2026,1301440000000.0,273260000000.0,166420000000.0,0.272065,-14220000000.0,,1162580000000.0,18.976198,1085.873,4.207085,6.935
HDFCBANK,HDFC Bank,BANKS,Private Bank,2022,1019413700000.0,,386000400000.0,,-26324400000.0,165287700000.0,21113705500000.0,17.123716,,2.0879965,
HDFCBANK,HDFC Bank,BANKS,Private Bank,2023,1205375000000.0,,495446900000.0,,-43620300000.0,199726800000.0,25755624000000.0,17.123716,,2.0879965,
HDFCBANK,HDFC Bank,BANKS,Private Bank,2024,1986934300000.0,,622656600000.0,,-53838000000.0,288776000000.0,44118573000000.0,17.123716,,2.0879965,
HDFCBANK,HDFC Bank,BANKS,Private Bank,2025,2371508200000.0,,673508300000.0,,-66397300000.0,299251700000.0,48187671100000.0,17.123716,,2.0879965,
ICICIBANK,ICICI Bank,BANKS,Private Bank,2022,,,,,,,,16.920504,,2.4937572,
ICICIBANK,ICICI Bank,BANKS,Private Bank,2023,1302384597000.0,,340366408000.0,,-24676808000.0,152479092000.0,19584904970000.0,16.920504,,2.4937572,
ICICIBANK,ICICI Bank,BANKS,Private Bank,2024,1533819611000.0,,442563735000.0,,-36785464000.0,191865783000.0,23640630275000.0,16.920504,,2.4937572,
ICICIBANK,ICICI Bank,BANKS,Private Bank,2025,2055592900000.0,,510292000000.0,,-47700000000.0,236299400000.0,26422414134000.0,16.920504,,2.4937572,
ICICIBANK,ICICI Bank,BANKS,Private Bank,2026,2230897800000.0,,542077000000.0,,-37300000000.0,252586200000.0,29144979700000.0,16.920504,,2.4937572,
SBIN,State Bank of India,BANKS,Public Bank,2022,,,,,,,,10.417032,,1.4799777,
