symbol,pe_score,has_aae,has_qif
WAAREEENER,88.5,False,True
QPOWER,84.9,False,False
SKIPPER,83.4,False,False
LUPIN,82.6,False,True
SJS,82.1,False,False
QUESS,81.3,False,False
SHAILY,80.2,False,False
CUPID,80.0,False,False
MANORAMA,80.0,False,False
SUZLON,79.6,False,True
SHAKTIPUMP,79.4,False,False
TMPV,78.9,False,True
GENUSPOWER,78.5,False,False
KIRLOSENG,78.1,False,True
MANAKCOAT,78.1,False,False
KMEW,77.9,False,False
HIRECT,77.4,False,False
BEL,77.2,False,True
LUMAXTECH,77.2,False,True
BALUFORGE,76.2,False,False
HINDUNILVR,76.2,False,True
INFY,76.0,False,True
CARRARO,75.7,False,False
HSCL,75.7,False,True
RPTECH,75.3,False,False
EPL,74.9,False,False
ADVAIT,74.7,False,False
TVSMOTOR,73.8,False,True
NAUKRI,73.0,False,True
ZENSARTECH,72.8,False,True
NAVINFLUOR,72.6,False,True
NETWEB,72.6,False,True
SONATSOFTW,72.3,False,True
AEROFLEX,71.9,False,False
BAJAJFINSV,71.9,False,True
CIPLA,71.7,False,True
TMCV,71.1,False,True
SANDHAR,70.2,False,True
POONAWALLA,69.8,False,True
WAAREERTL,69.6,False,True
TIMETECHNO,69.1,False,True
DEEPAKFERT,68.9,False,True
LTFOODS,68.9,False,True
TITAN,68.3,False,True
IFBIND,68.1,False,False
ADFFOODS,67.0,False,False
MPHASIS,66.6,False,True
TBZ,66.4,False,False
KPEL,66.0,False,True
KPIGREEN,65.1,False,True
SAATVIKGL,65.1,False,False
VEDL,65.1,False,True
AGI,64.9,False,True
HINDZINC,64.9,False,True
RTNINDIA,64.5,False,False
TI,64.3,False,False
JSWDULUX,62.6,False,True
LLOYDSME,61.3,False,True
RAMRAT,61.1,False,False
VINATIORGA,61.1,False,False
MACPOWER,59.6,False,False
SRM,59.1,False,False
SKFINDIA,58.9,False,True
TARIL,58.9,False,True
OLECTRA,58.3,False,True
KTKBANK,57.9,False,True
JMFINANCIL,57.7,False,True
HERITGFOOD,56.8,False,False
SHARDACROP,55.3,False,True
RUBICON,54.3,False,False
GRMOVER,54.0,False,False
SKYGOLD,54.0,False,False
WESTLIFE,53.0,False,False
NATIONALUM,51.3,False,True
UGROCAP,51.1,False,False
SIGMA,50.0,False,True
HINDALCO,49.1,False,True
SGFIN,48.7,False,False
ICEMAKE,48.3,False,False
PGHH,48.3,False,True
TRENT,48.3,False,True
MCLOUD,47.9,False,False
SOUTHBANK,47.2,False,True
JAYNECOIND,47.0,False,False
KEI,47.0,False,True
TIPSMUSIC,46.4,False,False
SANOFICONR,46.0,False,False
ASHOKA,44.3,False,False
GILLETTE,43.0,False,True
NATCOPHARM,42.1,False,True
SMCGLOBAL,41.5,False,False
PFS,39.4,False,False
GROWW,35.1,False,True
KERNEX,34.3,False,False
AMRUTANJAN,34.0,False,False
TAJGVK,24.7,False,False
EXPLEOSOL,12.8,False,False
