symbol,pe_score,has_aae,has_qif
QPOWER,84.9,False,False
SKIPPER,83.4,False,False
SJS,82.1,False,False
QUESS,81.3,False,False
SHAILY,80.2,False,False
CUPID,80.0,False,False
MANORAMA,80.0,False,False
SHAKTIPUMP,79.4,False,False
GENUSPOWER,78.5,False,False
MANAKCOAT,78.1,False,False
KMEW,77.9,False,False
HIRECT,77.4,False,False
BALUFORGE,76.2,False,False
CARRARO,75.7,False,False
RPTECH,75.3,False,False
EPL,74.9,False,False
ADVAIT,74.7,False,False
AEROFLEX,71.9,False,False
3BBLACKBIO,68.7,True,False
IFBIND,68.1,False,False
ADFFOODS,67.0,False,False
TBZ,66.4,False,False
SAATVIKGL,65.1,False,False
RTNINDIA,64.5,False,False
TI,64.3,False,False
RAMRAT,61.1,False,False
VINATIORGA,61.1,False,False
VISHNU,60.6,True,False
MACPOWER,59.6,False,False
SRM,59.1,False,False
HERITGFOOD,56.8,False,False
RUBICON,54.3,False,False
GRMOVER,54.0,False,False
SKYGOLD,54.0,False,False
WESTLIFE,53.0,False,False
UGROCAP,51.1,False,False
SGFIN,48.7,False,False
ICEMAKE,48.3,False,False
MCLOUD,47.9,False,False
JAYNECOIND,47.0,False,False
TIPSMUSIC,46.4,False,False
SANOFICONR,46.0,False,False
ASHOKA,44.3,False,False
SMCGLOBAL,41.5,False,False
PFS,39.4,False,False
KERNEX,34.3,False,False
AMRUTANJAN,34.0,False,False
TAJGVK,24.7,False,False
EXPLEOSOL,12.8,False,False
