nohup: ignoring input
Total symbols to ingest: 501
  [1/501] ✅ 360ONE.NS: 246 rows
  [2/501] ✅ 3MINDIA.NS: 246 rows
  [3/501] ✅ AADHARHFC.NS: 247 rows
  [4/501] ✅ AARTIIND.NS: 247 rows
  [5/501] ✅ AAVAS.NS: 247 rows
  [6/501] ✅ ABB.NS: 247 rows
  [7/501] ✅ ABBOTINDIA.NS: 247 rows
  [8/501] ✅ ABCAPITAL.NS: 247 rows
  [9/501] ✅ ABFRL.NS: 247 rows
  [10/501] ✅ ABLBL.NS: 164 rows
  [11/501] ✅ ABREL.NS: 247 rows
  [12/501] ✅ ABSLAMC.NS: 247 rows
  [13/501] ✅ ACC.NS: 247 rows
  [14/501] ✅ ACE.NS: 247 rows
  [15/501] ✅ ACMESOLAR.NS: 247 rows
  [16/501] ✅ ADANIENSOL.NS: 246 rows
  [17/501] ✅ ADANIENT.NS: 247 rows
  [18/501] ✅ ADANIGREEN.NS: 247 rows
  [19/501] ✅ ADANIPORTS.NS: 247 rows
  [20/501] ✅ ADANIPOWER.NS: 247 rows
  [21/501] ✅ AEGISLOG.NS: 246 rows
  [22/501] ✅ AEGISVOPAK.NS: 181 rows
  [23/501] ✅ AFCONS.NS: 247 rows
  [24/501] ✅ AFFLE.NS: 247 rows
  [25/501] ✅ AGARWALEYE.NS: 246 rows
  [26/501] ✅ AIAENG.NS: 246 rows
  [27/501] ✅ AIIL.NS: 246 rows
  [28/501] ✅ AJANTPHARM.NS: 246 rows
  [29/501] ✅ AKUMS.NS: 245 rows
  [30/501] ✅ AKZOINDIA.NS: 247 rows
  [31/501] ✅ ALKEM.NS: 246 rows
  [32/501] ✅ ALKYLAMINE.NS: 247 rows
  [33/501] ✅ ALOKINDS.NS: 247 rows
  [34/501] ✅ AMBER.NS: 247 rows
  [35/501] ✅ AMBUJACEM.NS: 247 rows
  [36/501] ✅ ANANDRATHI.NS: 246 rows
  [37/501] ✅ ANANTRAJ.NS: 247 rows
  [38/501] ✅ ANGELONE.NS: 247 rows
  [39/501] ✅ APARINDS.NS: 247 rows
  [40/501] ✅ APLAPOLLO.NS: 247 rows
  [41/501] ✅ APLLTD.NS: 247 rows
  [42/501] ✅ APOLLOHOSP.NS: 247 rows
  [43/501] ✅ APOLLOTYRE.NS: 247 rows
  [44/501] ✅ APTUS.NS: 247 rows
  [45/501] ✅ ARE&M.NS: 246 rows
  [46/501] ✅ ASAHIINDIA.NS: 247 rows
  [47/501] ✅ ASHOKLEY.NS: 247 rows
  [48/501] ✅ ASIANPAINT.NS: 247 rows
  [49/501] ✅ ASTERDM.NS: 247 rows
  [50/501] ✅ ASTRAL.NS: 247 rows
  [51/501] ✅ ASTRAZEN.NS: 246 rows
  [52/501] ✅ ATGL.NS: 247 rows
  [53/501] ✅ ATHERENERG.NS: 200 rows
  [54/501] ✅ ATUL.NS: 247 rows
  [55/501] ✅ AUBANK.NS: 247 rows
  [56/501] ✅ AUROPHARMA.NS: 246 rows
  [57/501] ✅ AWL.NS: 247 rows
  [58/501] ✅ AXISBANK.NS: 247 rows
  [59/501] ✅ BAJAJ-AUTO.NS: 247 rows
  [60/501] ✅ BAJAJFINSV.NS: 247 rows
  [61/501] ✅ BAJAJHFL.NS: 247 rows
  [62/501] ✅ BAJAJHLDNG.NS: 247 rows
  [63/501] ✅ BAJFINANCE.NS: 247 rows
  [64/501] ✅ BALKRISIND.NS: 247 rows
  [65/501] ✅ BALRAMCHIN.NS: 247 rows
  [66/501] ✅ BANDHANBNK.NS: 247 rows
  [67/501] ✅ BANKBARODA.NS: 247 rows
  [68/501] ✅ BANKINDIA.NS: 247 rows
  [69/501] ✅ BASF.NS: 247 rows
  [70/501] ✅ BATAINDIA.NS: 247 rows
  [71/501] ✅ BAYERCROP.NS: 247 rows
  [72/501] ✅ BBTC.NS: 247 rows
  [73/501] ✅ BDL.NS: 247 rows
  [74/501] ✅ BEL.NS: 247 rows
  [75/501] ✅ BEML.NS: 247 rows
  [76/501] ✅ BERGEPAINT.NS: 247 rows
  [77/501] ✅ BHARATFORG.NS: 246 rows
  [78/501] ✅ BHARTIARTL.NS: 247 rows
  [79/501] ✅ BHARTIHEXA.NS: 247 rows
  [80/501] ✅ BHEL.NS: 247 rows
  [81/501] ✅ BIKAJI.NS: 247 rows
  [82/501] ✅ BIOCON.NS: 247 rows
  [83/501] ✅ BLS.NS: 247 rows
  [84/501] ✅ BLUEDART.NS: 247 rows
  [85/501] ✅ BLUEJET.NS: 247 rows
  [86/501] ✅ BLUESTARCO.NS: 247 rows
  [87/501] ✅ BOSCHLTD.NS: 247 rows
  [88/501] ✅ BPCL.NS: 247 rows
  [89/501] ✅ BRIGADE.NS: 247 rows
  [90/501] ✅ BRITANNIA.NS: 247 rows
  [91/501] ✅ BSE.NS: 247 rows
  [92/501] ✅ BSOFT.NS: 247 rows
  [93/501] ✅ CAMPUS.NS: 247 rows
  [94/501] ✅ CAMS.NS: 247 rows
  [95/501] ✅ CANBK.NS: 247 rows
  [96/501] ✅ CANFINHOME.NS: 247 rows
  [97/501] ✅ CAPLIPOINT.NS: 247 rows
  [98/501] ✅ CARBORUNIV.NS: 246 rows
  [99/501] ✅ CASTROLIND.NS: 247 rows
  [100/501] ✅ CCL.NS: 247 rows
  [101/501] ✅ CDSL.NS: 247 rows
