symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_reason,execution
GMDCLTD,2007-10-17,2007-11-26,26.0307,150.2263,393,48572.715056400004,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
JKCEMENT,2007-11-26,2008-01-15,155.1884,149.9258,101,-592.0926231999983,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
CUMMINSIND,2007-10-17,2008-01-21,210.3769,157.7827,48,-2554.8158783999997,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
GPIL,2007-10-17,2008-01-21,63.962,65.1465,139,128.4240460000001,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
BATAINDIA,2007-10-17,2008-01-22,93.3333,84.9545,107,-932.8921260000006,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
BIOCON,2007-10-17,2008-01-22,36.8053,30.6711,275,-1720.6432100000002,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
CESC,2007-10-17,2008-01-22,29.5062,24.9439,344,-1603.7540063999986,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
CGPOWER,2007-10-17,2008-01-22,56.1245,51.4571,181,-882.0543404,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
GESHIP,2007-10-17,2008-01-22,223.0038,196.8648,45,-1211.6906640000016,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
AXISBANK,2007-10-17,2008-01-23,146.0571,185.0294,68,2599.7884032,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
BEML,2007-10-17,2008-01-25,474.0495,508.1586,21,673.605777599998,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
BANKINDIA,2008-01-15,2008-02-01,312.5982,264.1818,51,-2523.1294872,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
GVT&D,2008-01-21,2008-02-05,2.934,2.934,4881,-57.283416000000216,REGIME_BEAR,NEXT_DAY_OPEN
NESTLEIND,2008-01-21,2008-02-05,435.1565,435.1565,32,-55.70003200000065,REGIME_BEAR,NEXT_DAY_OPEN
DCMSHRIRAM,2009-06-05,2009-06-19,48.9092,38.6065,282,-2948.9095319999997,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
AARTIIND,2009-06-05,2009-06-22,8.9664,7.3124,1546,-2602.3038816000008,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
ELGIEQUIP,2009-06-05,2009-07-10,11.4274,9.9491,1200,-1821.7156800000012,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
BEML,2009-06-05,2009-10-30,297.6646,328.7446,45,1339.425971999999,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
ABREL,2009-07-28,2009-11-04,423.2231,363.8846,28,-1702.2330751999998,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
MPHASIS,2009-06-22,2010-04-01,253.4058,398.3141,44,6305.8619184,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
ENGINERSIN,2009-06-05,2010-05-19,49.1995,123.314,277,20393.084587999998,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
ASHOKLEY,2009-11-04,2010-12-21,8.4826,12.0471,1194,4198.4760504000005,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
BIOCON,2009-06-05,2011-01-28,29.9609,53.2068,460,10595.213488000001,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
CASTROLIND,2009-06-19,2011-01-31,26.0498,61.0967,481,16740.0088492,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
CGPOWER,2009-10-30,2011-01-31,63.1782,79.5962,233,3751.210341599999,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
BATAINDIA,2009-06-05,2011-02-01,69.9688,140.6709,196,13747.325614399997,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
AIAENG,2010-04-01,2011-02-07,359.8741,327.2417,48,-1629.1856064000021,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
CONCOR,2009-06-05,2011-02-09,172.9369,201.1371,79,2164.2564764,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
GRAVITA,2011-03-29,2011-04-27,60.1576,59.6049,380,-300.62544799999887,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
CANBK,2011-03-29,2011-05-19,90.2805,76.4309,251,-3552.9862236000045,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
HFCL,2011-04-27,2011-05-19,17.291,15.8664,1299,-1932.9972144000021,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
COLPAL,2009-06-05,2011-06-21,183.864,345.2459,75,12000.06873,REGIME_BEAR,NEXT_DAY_OPEN
CRISIL,2009-06-05,2011-06-21,256.0546,547.336,53,15321.878968000003,REGIME_BEAR,NEXT_DAY_OPEN
ABBOTINDIA,2010-05-19,2011-06-21,952.7897,1245.6155,21,6044.710098000003,REGIME_BEAR,NEXT_DAY_OPEN
INFY,2010-12-21,2011-06-21,290.481,237.78,85,-4560.430199999999,REGIME_BEAR,NEXT_DAY_OPEN
ATUL,2011-03-29,2011-06-21,155.1472,155.1472,146,-90.60596480000095,REGIME_BEAR,NEXT_DAY_OPEN
BOSCHLTD,2011-03-29,2011-06-21,5670.3057,6000.2142,4,1223.6305728000007,REGIME_BEAR,NEXT_DAY_OPEN
CARBORUNIV,2011-03-29,2011-06-21,99.3679,123.984,228,5499.397391999999,REGIME_BEAR,NEXT_DAY_OPEN
FEDERALBNK,2011-03-29,2011-06-21,32.8923,35.1506,626,1325.6786975999967,REGIME_BEAR,NEXT_DAY_OPEN
GALLANTT,2012-07-02,2013-02-20,23.9958,22.6682,980,-1389.9073439999993,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
AARTIIND,2012-07-02,2013-03-28,15.295,16.9934,1525,2486.400260000002,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
DIVISLAB,2012-07-02,2013-06-04,452.6592,424.6693,51,-1514.1174371999987,TRAILING_STOP_20PCT,NEXT_DAY_OPEN
