symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_reason,execution
GMDCLTD,2007-10-16,2007-11-23,28.9202,154.3815,343,42821.41448199999,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
JKCEMENT,2007-11-23,2008-01-14,154.497,151.9617,93,-292.31265239999993,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
CUMMINSIND,2007-10-16,2008-01-18,215.9472,167.3454,46,-2266.4743535999996,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
GPIL,2007-10-16,2008-01-18,64.7911,67.2786,153,339.41299679999975,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
BATAINDIA,2007-10-16,2008-01-21,97.2575,92.4424,102,-528.8566991999978,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
BIOCON,2007-10-16,2008-01-21,39.1616,31.9701,254,-1859.1226215999995,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
CESC,2007-10-16,2008-01-21,31.8316,27.4571,312,-1399.1104608000005,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
CGPOWER,2007-10-16,2008-01-21,57.8724,54.3516,171,-639.2332944000009,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
GESHIP,2007-10-16,2008-01-21,233.2064,208.058,42,-1091.1865440000001,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
AXISBANK,2007-10-16,2008-01-22,157.9376,173.5942,63,942.6200615999987,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
BEML,2007-10-16,2008-01-24,542.1635,498.0478,18,-829.9420415999994,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
BANKINDIA,2008-01-14,2008-01-31,310.1992,256.5123,48,-2626.221561600001,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
GVT&D,2008-01-18,2008-02-04,2.934,2.934,4841,-56.81397599999946,REGIME_BEAR,SAME_DAY_CLOSE
NESTLEIND,2008-01-18,2008-02-04,435.1565,435.1565,32,-55.70003200000065,REGIME_BEAR,SAME_DAY_CLOSE
DCMSHRIRAM,2009-06-04,2009-06-19,46.5694,37.097,281,-2703.441428000002,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
AARTIIND,2009-06-04,2009-06-23,8.74,6.8336,1502,-2904.469068800001,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
ELGIEQUIP,2009-06-04,2009-07-09,10.5857,9.9383,1236,-849.3213551999997,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
BEML,2009-06-04,2009-10-29,283.6341,330.2859,46,2085.2101944000024,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
INDUSINDBK,2009-06-23,2009-11-03,81.3007,101.0581,126,2438.4991175999985,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
ABREL,2009-07-27,2009-11-03,419.2091,357.9507,29,-1818.015881199999,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
MPHASIS,2009-06-19,2010-03-31,249.576,397.9613,44,6458.9120112,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
ENGINERSIN,2009-06-04,2010-05-18,48.3038,124.9898,270,20570.231015999998,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
ASHOKLEY,2009-11-03,2010-12-20,8.3737,11.9173,1773,6198.2853084,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
BIOCON,2009-06-04,2011-01-27,29.6612,52.907,442,10181.104024,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
CGPOWER,2009-10-29,2011-01-28,62.8522,79.7937,240,3989.358048,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
BATAINDIA,2009-06-04,2011-01-31,69.903,140.0055,187,13004.443386000003,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
AIAENG,2010-03-31,2011-02-04,353.6557,319.3985,49,-1741.2049060000008,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
CONCOR,2009-06-04,2011-02-08,170.3732,200.9147,76,2260.075931200001,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
GRAVITA,2011-03-28,2011-04-26,59.9821,59.1313,353,-383.82579559999795,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
CANBK,2011-03-28,2011-05-18,90.0258,76.1835,235,-3324.552990000004,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
HFCL,2011-04-26,2011-05-18,17.7331,15.5226,1272,-2890.734988799999,TRAILING_STOP_20PCT,SAME_DAY_CLOSE
COLPAL,2009-06-04,2011-06-20,183.864,344.9818,71,11341.388968799998,REGIME_BEAR,SAME_DAY_CLOSE
CRISIL,2009-06-04,2011-06-20,259.7691,545.6112,50,14182.982760000003,REGIME_BEAR,SAME_DAY_CLOSE
DRREDDY,2009-11-03,2011-06-20,185.4214,273.8813,43,3756.6681163999992,REGIME_BEAR,SAME_DAY_CLOSE
ABBOTINDIA,2010-05-18,2011-06-20,953.1694,1220.6588,20,5252.135296,REGIME_BEAR,SAME_DAY_CLOSE
INFY,2010-12-20,2011-06-20,290.429,236.6055,79,-4326.823838,REGIME_BEAR,SAME_DAY_CLOSE
ATUL,2011-03-28,2011-06-20,155.5462,156.1668,136,-0.5531391999975313,REGIME_BEAR,SAME_DAY_CLOSE
