date,equity,cash,open_positions
2007-10-01,100000.0,100000.0,0
2007-10-03,100000.0,100000.0,0
2007-10-04,100000.0,100000.0,0
2007-10-05,100000.0,100000.0,0
2007-10-08,100000.0,100000.0,0
2007-10-09,100000.0,100000.0,0
2007-10-10,100000.0,100000.0,0
2007-10-11,100000.0,100000.0,0
2007-10-12,100000.0,100000.0,0
2007-10-15,99960.2481592,90022.2879592,1
2007-10-16,100954.1235592,90022.2879592,1
2007-10-17,102045.37175919999,90022.2879592,1
2007-10-18,101444.38955919999,90022.2879592,1
2007-10-19,100829.97838,100829.97838,0
2007-10-22,100829.97838,100829.97838,0
2007-10-23,100829.97838,100829.97838,0
2007-10-24,100790.172852,90838.790852,1
2007-10-25,101479.133852,90838.790852,1
2007-10-26,101182.25181600002,91126.12981600002,1
2007-10-29,102197.68729280002,74469.68869280002,3
2007-10-30,101647.34349280002,74469.68869280002,3
2007-10-31,104512.26729280001,74469.68869280002,3
2007-11-01,104817.53729280001,74469.68869280002,3
2007-11-02,105563.71029480002,78252.83179480002,3
2007-11-05,106930.33581320001,64133.655713200016,4
2007-11-06,107971.83661640002,60864.58681640001,4
2007-11-07,106254.73517120002,84620.19407120002,2
2007-11-08,105374.63189560003,95656.76439560002,1
2007-11-12,105801.85486040002,105801.85486040002,0
2007-11-13,105801.85486040002,105801.85486040002,0
2007-11-14,105759.78430880002,95242.14640880002,1
2007-11-15,106710.83407880002,84631.54057880002,2
2007-11-16,106716.14824400003,73980.72334400003,3
2007-11-19,106799.33689520003,95658.10279520003,1
2007-11-20,107313.67508720004,84936.63578720004,2
2007-11-21,105954.74949200005,105954.74949200005,0
2007-11-22,105954.74949200005,105954.74949200005,0
2007-11-23,105954.74949200005,105954.74949200005,0
2007-11-26,105954.74949200005,105954.74949200005,0
2007-11-27,105954.74949200005,105954.74949200005,0
2007-11-28,105954.74949200005,105954.74949200005,0
2007-11-29,105912.72648720004,95406.97528720004,1
2007-11-30,107048.48278720005,95406.97528720004,1
2007-12-03,107847.30318720004,95406.97528720004,1
2007-12-04,107685.36936760004,107685.36936760004,0
2007-12-05,107685.36936760004,107685.36936760004,0
2007-12-06,107642.58131760004,96945.56881760004,1
2007-12-07,108270.16881760005,96945.56881760004,1
2007-12-10,107506.72782560004,96796.19232560004,1
2007-12-11,108841.49179520004,85935.16369520004,2
2007-12-12,109003.38333240004,64141.470532400046,4
2007-12-13,109729.82040360005,53385.96140360005,5
2007-12-14,110396.82444200006,54709.52044200005,5
2007-12-17,108818.15709840006,74888.21589840006,3
2007-12-18,107483.17429840006,74888.21589840006,3
2007-12-19,108434.82789840005,74888.21589840006,3
2007-12-20,107270.81841680006,95893.82641680006,1
2007-12-24,107139.61859280006,107139.61859280006,0
2007-12-26,107139.61859280006,107139.61859280006,0
2007-12-27,107139.61859280006,107139.61859280006,0
2007-12-28,107139.61859280006,107139.61859280006,0
2007-12-31,107096.93356880006,96425.67756880006,1
2008-01-01,107630.61756880007,96425.67756880006,1
2008-01-02,106827.85270760008,53649.157407600076,5
2008-01-03,108970.41747600009,42907.554276000075,6
2008-01-04,111181.72343920008,53434.59773920008,5
2008-01-07,110824.87209760008,31433.759597600074,7
2008-01-08,109412.10722320006,42434.996523200076,6
2008-01-09,112071.55280000008,75510.12050000008,3
2008-01-10,109326.65812040008,96281.52112040008,1
2008-01-11,107976.54833960008,107976.54833960008,0
2008-01-14,107976.54833960008,107976.54833960008,0
2008-01-15,107976.54833960008,107976.54833960008,0
2008-01-16,107976.54833960008,107976.54833960008,0
2008-01-17,107976.54833960008,107976.54833960008,0
2008-01-18,107976.54833960008,107976.54833960008,0
2008-01-21,107976.54833960008,107976.54833960008,0
2008-01-22,107976.54833960008,107976.54833960008,0
2008-01-23,107976.54833960008,107976.54833960008,0
2008-01-24,107976.54833960008,107976.54833960008,0
2008-01-25,107976.54833960008,107976.54833960008,0
2008-01-28,107976.54833960008,107976.54833960008,0
2008-01-29,107976.54833960008,107976.54833960008,0
2008-01-30,107976.54833960008,107976.54833960008,0
2008-01-31,107976.54833960008,107976.54833960008,0
2008-02-01,107976.54833960008,107976.54833960008,0
2008-02-04,107976.54833960008,107976.54833960008,0
2008-02-05,107976.54833960008,107976.54833960008,0
2008-02-06,107976.54833960008,107976.54833960008,0
2008-02-07,107976.54833960008,107976.54833960008,0
2008-02-08,107976.54833960008,107976.54833960008,0
2008-02-11,107976.54833960008,107976.54833960008,0
2008-02-12,107976.54833960008,107976.54833960008,0
2008-02-13,107976.54833960008,107976.54833960008,0
2008-02-14,107976.54833960008,107976.54833960008,0
2008-02-15,107976.54833960008,107976.54833960008,0
2008-02-18,107976.54833960008,107976.54833960008,0
2008-02-19,107976.54833960008,107976.54833960008,0
2008-02-20,107976.54833960008,107976.54833960008,0
2008-02-21,107976.54833960008,107976.54833960008,0
2008-02-22,107976.54833960008,107976.54833960008,0
2008-02-25,107976.54833960008,107976.54833960008,0
2008-02-26,107976.54833960008,107976.54833960008,0
2008-02-27,107976.54833960008,107976.54833960008,0
2008-02-28,107976.54833960008,107976.54833960008,0
2008-02-29,107976.54833960008,107976.54833960008,0
2008-03-03,107976.54833960008,107976.54833960008,0
2008-03-04,107976.54833960008,107976.54833960008,0
2008-03-05,107976.54833960008,107976.54833960008,0
2008-03-07,107976.54833960008,107976.54833960008,0
2008-03-10,107976.54833960008,107976.54833960008,0
2008-03-11,107976.54833960008,107976.54833960008,0
2008-03-12,107976.54833960008,107976.54833960008,0
2008-03-13,107976.54833960008,107976.54833960008,0
2008-03-14,107976.54833960008,107976.54833960008,0
2008-03-17,107976.54833960008,107976.54833960008,0
2008-03-18,107976.54833960008,107976.54833960008,0
2008-03-19,107976.54833960008,107976.54833960008,0
2008-03-24,107976.54833960008,107976.54833960008,0
2008-03-25,107976.54833960008,107976.54833960008,0
2008-03-26,107976.54833960008,107976.54833960008,0
2008-03-27,107976.54833960008,107976.54833960008,0
2008-03-28,107976.54833960008,107976.54833960008,0
2008-03-31,107976.54833960008,107976.54833960008,0
2008-04-01,107976.54833960008,107976.54833960008,0
2008-04-02,107976.54833960008,107976.54833960008,0
2008-04-03,107976.54833960008,107976.54833960008,0
2008-04-04,107976.54833960008,107976.54833960008,0
2008-04-07,107976.54833960008,107976.54833960008,0
2008-04-08,107976.54833960008,107976.54833960008,0
2008-04-09,107976.54833960008,107976.54833960008,0
2008-04-10,107976.54833960008,107976.54833960008,0
2008-04-11,107976.54833960008,107976.54833960008,0
2008-04-15,107976.54833960008,107976.54833960008,0
2008-04-16,107976.54833960008,107976.54833960008,0
2008-04-17,107976.54833960008,107976.54833960008,0
2008-04-21,107976.54833960008,107976.54833960008,0
2008-04-22,107976.54833960008,107976.54833960008,0
2008-04-23,107976.54833960008,107976.54833960008,0
2008-04-24,107976.54833960008,107976.54833960008,0
2008-04-25,107976.54833960008,107976.54833960008,0
2008-04-28,107976.54833960008,107976.54833960008,0
2008-04-29,107976.54833960008,107976.54833960008,0
2008-04-30,107976.54833960008,107976.54833960008,0
2008-05-02,107976.54833960008,107976.54833960008,0
2008-05-05,107976.54833960008,107976.54833960008,0
2008-05-06,107976.54833960008,107976.54833960008,0
2008-05-07,107976.54833960008,107976.54833960008,0
2008-05-08,107976.54833960008,107976.54833960008,0
2008-05-09,107976.54833960008,107976.54833960008,0
2008-05-12,107976.54833960008,107976.54833960008,0
2008-05-13,107976.54833960008,107976.54833960008,0
2008-05-14,107976.54833960008,107976.54833960008,0
2008-05-15,107976.54833960008,107976.54833960008,0
2008-05-16,107976.54833960008,107976.54833960008,0
2008-05-20,107976.54833960008,107976.54833960008,0
2008-05-21,107976.54833960008,107976.54833960008,0
2008-05-22,107976.54833960008,107976.54833960008,0
2008-05-23,107976.54833960008,107976.54833960008,0
2008-05-26,107976.54833960008,107976.54833960008,0
2008-05-27,107976.54833960008,107976.54833960008,0
2008-05-28,107976.54833960008,107976.54833960008,0
2008-05-29,107976.54833960008,107976.54833960008,0
2008-05-30,107976.54833960008,107976.54833960008,0
2008-06-02,107976.54833960008,107976.54833960008,0
2008-06-03,107976.54833960008,107976.54833960008,0
2008-06-04,107976.54833960008,107976.54833960008,0
2008-06-05,107976.54833960008,107976.54833960008,0
2008-06-06,107976.54833960008,107976.54833960008,0
2008-06-09,107976.54833960008,107976.54833960008,0
2008-06-10,107976.54833960008,107976.54833960008,0
2008-06-11,107976.54833960008,107976.54833960008,0
2008-06-12,107976.54833960008,107976.54833960008,0
2008-06-13,107976.54833960008,107976.54833960008,0
2008-06-16,107976.54833960008,107976.54833960008,0
2008-06-17,107976.54833960008,107976.54833960008,0
2008-06-18,107976.54833960008,107976.54833960008,0
2008-06-19,107976.54833960008,107976.54833960008,0
2008-06-20,107976.54833960008,107976.54833960008,0
2008-06-23,107976.54833960008,107976.54833960008,0
2008-06-24,107976.54833960008,107976.54833960008,0
2008-06-25,107976.54833960008,107976.54833960008,0
2008-06-26,107976.54833960008,107976.54833960008,0
2008-06-27,107976.54833960008,107976.54833960008,0
2008-06-30,107976.54833960008,107976.54833960008,0
2008-07-01,107976.54833960008,107976.54833960008,0
2008-07-02,107976.54833960008,107976.54833960008,0
2008-07-03,107976.54833960008,107976.54833960008,0
2008-07-04,107976.54833960008,107976.54833960008,0
2008-07-07,107976.54833960008,107976.54833960008,0
2008-07-08,107976.54833960008,107976.54833960008,0
2008-07-09,107976.54833960008,107976.54833960008,0
2008-07-10,107976.54833960008,107976.54833960008,0
2008-07-11,107976.54833960008,107976.54833960008,0
2008-07-14,107976.54833960008,107976.54833960008,0
2008-07-15,107976.54833960008,107976.54833960008,0
2008-07-16,107976.54833960008,107976.54833960008,0
2008-07-17,107976.54833960008,107976.54833960008,0
2008-07-18,107976.54833960008,107976.54833960008,0
2008-07-21,107976.54833960008,107976.54833960008,0
2008-07-22,107976.54833960008,107976.54833960008,0
2008-07-23,107976.54833960008,107976.54833960008,0
2008-07-24,107976.54833960008,107976.54833960008,0
2008-07-25,107976.54833960008,107976.54833960008,0
2008-07-28,107976.54833960008,107976.54833960008,0
2008-07-29,107976.54833960008,107976.54833960008,0
2008-07-30,107976.54833960008,107976.54833960008,0
2008-07-31,107976.54833960008,107976.54833960008,0
2008-08-01,107976.54833960008,107976.54833960008,0
2008-08-04,107976.54833960008,107976.54833960008,0
2008-08-05,107976.54833960008,107976.54833960008,0
2008-08-06,107976.54833960008,107976.54833960008,0
2008-08-07,107976.54833960008,107976.54833960008,0
2008-08-08,107976.54833960008,107976.54833960008,0
2008-08-11,107976.54833960008,107976.54833960008,0
2008-08-12,107976.54833960008,107976.54833960008,0
2008-08-13,107976.54833960008,107976.54833960008,0
2008-08-14,107976.54833960008,107976.54833960008,0
2008-08-18,107976.54833960008,107976.54833960008,0
2008-08-19,107976.54833960008,107976.54833960008,0
2008-08-20,107976.54833960008,107976.54833960008,0
2008-08-21,107976.54833960008,107976.54833960008,0
2008-08-22,107976.54833960008,107976.54833960008,0
2008-08-25,107976.54833960008,107976.54833960008,0
2008-08-26,107976.54833960008,107976.54833960008,0
2008-08-27,107976.54833960008,107976.54833960008,0
2008-08-28,107976.54833960008,107976.54833960008,0
2008-08-29,107976.54833960008,107976.54833960008,0
2008-09-01,107976.54833960008,107976.54833960008,0
2008-09-02,107976.54833960008,107976.54833960008,0
2008-09-04,107976.54833960008,107976.54833960008,0
2008-09-05,107976.54833960008,107976.54833960008,0
2008-09-08,107976.54833960008,107976.54833960008,0
2008-09-09,107976.54833960008,107976.54833960008,0
2008-09-10,107976.54833960008,107976.54833960008,0
2008-09-11,107976.54833960008,107976.54833960008,0
2008-09-12,107976.54833960008,107976.54833960008,0
2008-09-15,107976.54833960008,107976.54833960008,0
2008-09-16,107976.54833960008,107976.54833960008,0
2008-09-17,107976.54833960008,107976.54833960008,0
2008-09-18,107976.54833960008,107976.54833960008,0
2008-09-19,107976.54833960008,107976.54833960008,0
2008-09-22,107976.54833960008,107976.54833960008,0
2008-09-23,107976.54833960008,107976.54833960008,0
2008-09-24,107976.54833960008,107976.54833960008,0
2008-09-25,107976.54833960008,107976.54833960008,0
2008-09-26,107976.54833960008,107976.54833960008,0
2008-09-29,107976.54833960008,107976.54833960008,0
2008-09-30,107976.54833960008,107976.54833960008,0
2008-10-01,107976.54833960008,107976.54833960008,0
2008-10-03,107976.54833960008,107976.54833960008,0
2008-10-06,107976.54833960008,107976.54833960008,0
2008-10-07,107976.54833960008,107976.54833960008,0
2008-10-08,107976.54833960008,107976.54833960008,0
2008-10-10,107976.54833960008,107976.54833960008,0
2008-10-13,107976.54833960008,107976.54833960008,0
2008-10-14,107976.54833960008,107976.54833960008,0
2008-10-15,107976.54833960008,107976.54833960008,0
2008-10-16,107976.54833960008,107976.54833960008,0
2008-10-17,107976.54833960008,107976.54833960008,0
2008-10-20,107976.54833960008,107976.54833960008,0
2008-10-21,107976.54833960008,107976.54833960008,0
2008-10-22,107976.54833960008,107976.54833960008,0
2008-10-23,107976.54833960008,107976.54833960008,0
2008-10-24,107976.54833960008,107976.54833960008,0
2008-10-27,107976.54833960008,107976.54833960008,0
2008-10-29,107976.54833960008,107976.54833960008,0
2008-10-31,107976.54833960008,107976.54833960008,0
2008-11-03,107976.54833960008,107976.54833960008,0
2008-11-04,107976.54833960008,107976.54833960008,0
2008-11-05,107976.54833960008,107976.54833960008,0
2008-11-06,107976.54833960008,107976.54833960008,0
2008-11-07,107976.54833960008,107976.54833960008,0
2008-11-10,107976.54833960008,107976.54833960008,0
2008-11-11,107976.54833960008,107976.54833960008,0
2008-11-12,107976.54833960008,107976.54833960008,0
2008-11-14,107976.54833960008,107976.54833960008,0
2008-11-17,107976.54833960008,107976.54833960008,0
2008-11-18,107976.54833960008,107976.54833960008,0
2008-11-19,107976.54833960008,107976.54833960008,0
2008-11-20,107976.54833960008,107976.54833960008,0
2008-11-21,107976.54833960008,107976.54833960008,0
2008-11-24,107976.54833960008,107976.54833960008,0
2008-11-25,107976.54833960008,107976.54833960008,0
2008-11-26,107976.54833960008,107976.54833960008,0
2008-11-28,107976.54833960008,107976.54833960008,0
2008-12-01,107976.54833960008,107976.54833960008,0
2008-12-02,107976.54833960008,107976.54833960008,0
2008-12-03,107976.54833960008,107976.54833960008,0
2008-12-04,107976.54833960008,107976.54833960008,0
2008-12-05,107976.54833960008,107976.54833960008,0
2008-12-08,107976.54833960008,107976.54833960008,0
2008-12-10,107976.54833960008,107976.54833960008,0
2008-12-11,107976.54833960008,107976.54833960008,0
2008-12-12,107976.54833960008,107976.54833960008,0
2008-12-15,107976.54833960008,107976.54833960008,0
2008-12-16,107976.54833960008,107976.54833960008,0
2008-12-17,107976.54833960008,107976.54833960008,0
2008-12-18,107976.54833960008,107976.54833960008,0
2008-12-19,107976.54833960008,107976.54833960008,0
2008-12-22,107976.54833960008,107976.54833960008,0
2008-12-23,107976.54833960008,107976.54833960008,0
2008-12-24,107976.54833960008,107976.54833960008,0
2008-12-26,107976.54833960008,107976.54833960008,0
2008-12-29,107976.54833960008,107976.54833960008,0
2008-12-30,107976.54833960008,107976.54833960008,0
2008-12-31,107976.54833960008,107976.54833960008,0
2009-01-02,107976.54833960008,107976.54833960008,0
2009-01-05,107976.54833960008,107976.54833960008,0
2009-01-06,107976.54833960008,107976.54833960008,0
2009-01-07,107976.54833960008,107976.54833960008,0
2009-01-09,107976.54833960008,107976.54833960008,0
2009-01-12,107976.54833960008,107976.54833960008,0
2009-01-13,107976.54833960008,107976.54833960008,0
2009-01-14,107976.54833960008,107976.54833960008,0
2009-01-15,107976.54833960008,107976.54833960008,0
2009-01-16,107976.54833960008,107976.54833960008,0
2009-01-19,107976.54833960008,107976.54833960008,0
2009-01-20,107976.54833960008,107976.54833960008,0
2009-01-21,107976.54833960008,107976.54833960008,0
2009-01-22,107976.54833960008,107976.54833960008,0
2009-01-23,107976.54833960008,107976.54833960008,0
2009-01-27,107976.54833960008,107976.54833960008,0
2009-01-28,107976.54833960008,107976.54833960008,0
2009-01-29,107976.54833960008,107976.54833960008,0
2009-01-30,107976.54833960008,107976.54833960008,0
2009-02-02,107976.54833960008,107976.54833960008,0
2009-02-03,107976.54833960008,107976.54833960008,0
2009-02-04,107976.54833960008,107976.54833960008,0
2009-02-05,107976.54833960008,107976.54833960008,0
2009-02-06,107976.54833960008,107976.54833960008,0
2009-02-09,107976.54833960008,107976.54833960008,0
2009-02-10,107976.54833960008,107976.54833960008,0
2009-02-11,107976.54833960008,107976.54833960008,0
2009-02-12,107976.54833960008,107976.54833960008,0
2009-02-13,107976.54833960008,107976.54833960008,0
2009-02-16,107976.54833960008,107976.54833960008,0
2009-02-17,107976.54833960008,107976.54833960008,0
2009-02-18,107976.54833960008,107976.54833960008,0
2009-02-19,107976.54833960008,107976.54833960008,0
2009-02-20,107976.54833960008,107976.54833960008,0
2009-02-24,107976.54833960008,107976.54833960008,0
2009-02-25,107976.54833960008,107976.54833960008,0
2009-02-26,107976.54833960008,107976.54833960008,0
2009-02-27,107976.54833960008,107976.54833960008,0
2009-03-02,107976.54833960008,107976.54833960008,0
2009-03-03,107976.54833960008,107976.54833960008,0
2009-03-04,107976.54833960008,107976.54833960008,0
2009-03-05,107976.54833960008,107976.54833960008,0
2009-03-06,107976.54833960008,107976.54833960008,0
2009-03-09,107976.54833960008,107976.54833960008,0
2009-03-12,107976.54833960008,107976.54833960008,0
2009-03-13,107976.54833960008,107976.54833960008,0
2009-03-16,107976.54833960008,107976.54833960008,0
2009-03-17,107976.54833960008,107976.54833960008,0
2009-03-18,107976.54833960008,107976.54833960008,0
2009-03-19,107976.54833960008,107976.54833960008,0
2009-03-20,107976.54833960008,107976.54833960008,0
2009-03-23,107976.54833960008,107976.54833960008,0
2009-03-24,107976.54833960008,107976.54833960008,0
2009-03-25,107976.54833960008,107976.54833960008,0
2009-03-26,107976.54833960008,107976.54833960008,0
2009-03-27,107976.54833960008,107976.54833960008,0
2009-03-30,107976.54833960008,107976.54833960008,0
2009-03-31,107976.54833960008,107976.54833960008,0
