date,equity,regime
2024-03-25,1000000.0,NEUTRAL
2024-04-01,1000000.0,BULLISH
2024-05-01,1000000.0,NEUTRAL
2024-06-03,1000000.0,BULLISH
2024-07-01,1000000.0,BULLISH
2024-08-01,1000000.0,BULLISH
2024-09-02,1000000.0,BULLISH
2024-10-01,1000000.0,BULLISH
2024-11-01,1000000.0,BULLISH
2024-12-02,1000000.0,BULLISH
2025-01-01,1000000.0,SIDEWAYS
2025-02-01,1000000.0,BEARISH
2025-03-03,1000000.0,BEARISH
2025-04-01,1000000.0,BEARISH
2025-05-01,1000000.0,NEUTRAL
2025-06-02,1000000.0,BULLISH
2025-07-01,1000000.0,BULLISH
2025-08-01,1000000.0,BULLISH
2025-09-01,996054.745718,BULLISH
2025-10-01,962894.3051376,BULLISH
2025-11-03,977233.7656600003,BULLISH
2025-12-01,990151.3903776001,BULLISH
2026-01-01,583375.5608104002,BULLISH
2026-02-02,966312.1847384,SIDEWAYS
2026-03-02,983453.3901116,SIDEWAYS
2026-04-01,729741.7686412,BEARISH
2026-05-01,729741.7686412,NEUTRAL
2026-06-01,726853.7862288001,NEUTRAL
2026-06-19,326510.2580352001,NEUTRAL
