symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_reason,execution
GMDCLTD,2007-10-16,2007-10-22,28.0559,27.2715,355,-317.18753000000106,SCORE_LOW,NEXT_DAY_OPEN
BLUESTARCO,2007-10-25,2007-10-29,143.8358,151.5719,68,484.82724319999943,SCORE_LOW,NEXT_DAY_OPEN
JINDALSAW,2007-10-30,2007-11-05,57.7804,63.474,171,930.1893840000012,SCORE_LOW,NEXT_DAY_OPEN
MRF,2007-10-30,2007-11-06,6929.3965,7362.1994,1,403.35410240000056,SCORE_LOW,NEXT_DAY_OPEN
PATANJALI,2007-11-05,2007-11-07,3887.2323,3807.5508,2,-189.82340639999984,SCORE_LOW,NEXT_DAY_OPEN
ENGINERSIN,2007-10-29,2007-11-08,39.7841,46.4082,250,1609.6167999999998,SCORE_LOW,NEXT_DAY_OPEN
JMFINANCIL,2007-11-06,2007-11-08,64.2263,54.3247,160,-1619.023808,SCORE_LOW,NEXT_DAY_OPEN
GODREJIND,2007-11-07,2007-11-12,231.3873,228.1283,43,-179.37506759999997,SCORE_LOW,NEXT_DAY_OPEN
FACT,2007-11-06,2007-11-13,36.5793,32.3931,281,-1212.7320444000015,SCORE_LOW,NEXT_DAY_OPEN
RCF,2007-11-15,2007-11-20,46.8273,50.5583,211,744.5697947999997,SCORE_LOW,NEXT_DAY_OPEN
MOTILALOFS,2007-11-16,2007-11-20,334.7963,307.5745,29,-825.110842,SCORE_LOW,NEXT_DAY_OPEN
FACT,2007-11-19,2007-11-22,45.749,45.749,216,-39.52713600000061,SCORE_LOW,NEXT_DAY_OPEN
HFCL,2007-11-21,2007-11-22,32.3223,30.0627,306,-728.2343447999992,SCORE_LOW,NEXT_DAY_OPEN
CENTURYPLY,2007-11-30,2007-12-05,48.4136,56.7006,202,1628.1599152,SCORE_LOW,NEXT_DAY_OPEN
KEI,2007-12-07,2007-12-11,86.9658,87.8624,114,62.14714559999811,SCORE_LOW,NEXT_DAY_OPEN
TRIDENT,2007-12-11,2007-12-14,2.2926,2.2689,4352,-142.6394111999998,SCORE_LOW,NEXT_DAY_OPEN
TECHNOE,2007-12-13,2007-12-17,243.6369,260.5561,40,635.0790240000006,SCORE_LOW,NEXT_DAY_OPEN
BERGEPAINT,2007-12-13,2007-12-18,16.7949,14.9862,595,-1111.8436559999973,SCORE_LOW,NEXT_DAY_OPEN
ADANIENT,2007-12-14,2007-12-18,59.2672,53.9769,169,-930.5490843999996,SCORE_LOW,NEXT_DAY_OPEN
CUB,2007-12-14,2007-12-18,21.5421,19.3293,463,-1060.3242636000014,SCORE_LOW,NEXT_DAY_OPEN
HFCL,2007-12-12,2007-12-24,37.7749,41.9502,264,1057.9797888000012,SCORE_LOW,NEXT_DAY_OPEN
GODREJIND,2007-12-18,2007-12-24,464.4506,380.8346,20,-1702.786768,SCORE_LOW,NEXT_DAY_OPEN
GILLETTE,2007-12-17,2007-12-26,1137.5394,1154.2685,8,96.89620800000012,SCORE_LOW,NEXT_DAY_OPEN
TRIDENT,2008-01-01,2008-01-03,2.7024,2.6279,3564,-302.98134240000036,SCORE_LOW,NEXT_DAY_OPEN
ADANIENT,2008-01-03,2008-01-07,80.0773,76.1111,119,-508.20668360000127,SCORE_LOW,NEXT_DAY_OPEN
CUB,2008-01-03,2008-01-07,23.4472,23.0539,409,-198.57588040000155,SCORE_LOW,NEXT_DAY_OPEN
RCF,2008-01-03,2008-01-09,85.8763,81.3549,112,-542.8437952000004,SCORE_LOW,NEXT_DAY_OPEN
OLECTRA,2008-01-03,2008-01-10,56.034,60.3371,171,694.559523599999,SCORE_LOW,NEXT_DAY_OPEN
TECHNOE,2008-01-07,2008-01-10,291.8568,293.887,33,28.20351599999958,SCORE_LOW,NEXT_DAY_OPEN
BBTC,2008-01-08,2008-01-10,186.9862,178.0646,50,-481.6929199999977,SCORE_LOW,NEXT_DAY_OPEN
HFCL,2008-01-03,2008-01-11,51.922,50.9396,185,-219.43930400000136,SCORE_LOW,NEXT_DAY_OPEN
TORNTPOWER,2008-01-04,2008-01-11,164.6946,145.7723,59,-1150.8179628000016,SCORE_LOW,NEXT_DAY_OPEN
KEI,2008-01-08,2008-01-14,109.5589,107.9004,85,-177.65863600000012,SCORE_LOW,NEXT_DAY_OPEN
ASTRAL,2009-06-03,2009-06-10,4.9137,5.2856,1872,656.6182271999987,SCORE_LOW,NEXT_DAY_OPEN
GRANULES,2009-06-03,2009-06-15,5.4968,5.2738,1673,-408.37126960000205,SCORE_LOW,NEXT_DAY_OPEN
ASHOKLEY,2009-06-03,2009-06-16,6.5309,5.0845,1412,-2071.0340559999986,TRAILING_STOP_20,NEXT_DAY_OPEN
FACT,2009-06-03,2009-06-18,53.324,41.1642,173,-2132.1310263999994,TRAILING_STOP_20,NEXT_DAY_OPEN
DEEPAKFERT,2009-06-03,2009-06-22,62.7871,56.3237,147,-983.2381356000005,SCORE_LOW,NEXT_DAY_OPEN
GMRAIRPORT,2009-06-03,2009-06-23,77.2177,58.9718,119,-2199.332676799998,TRAILING_STOP_20,NEXT_DAY_OPEN
COROMANDEL,2009-06-03,2009-06-24,78.5829,65.9082,117,-1513.7849376000013,TRAILING_STOP_20,NEXT_DAY_OPEN
ATUL,2009-06-23,2009-06-24,52.9671,54.0306,143,121.17499679999946,SCORE_LOW,NEXT_DAY_OPEN
RCF,2009-06-03,2009-07-08,57.4948,43.089,161,-2347.0831160000007,TRAILING_STOP_20,NEXT_DAY_OPEN
BATAINDIA,2009-06-16,2009-08-03,71.5042,74.553,119,327.3199719999993,SCORE_LOW,NEXT_DAY_OPEN
ABB,2009-07-30,2009-08-26,595.89,625.3246,12,323.1996192000006,SCORE_LOW,NEXT_DAY_OPEN
ACE,2009-08-26,2009-09-30,36.6796,33.1843,204,-740.1195887999993,SCORE_LOW,NEXT_DAY_OPEN
EIDPARRY,2009-06-03,2009-10-01,109.8432,125.2861,84,1255.1074704000002,SCORE_LOW,NEXT_DAY_OPEN
AJANTPHARM,2009-09-30,2009-10-05,7.5195,7.6637,893,101.39586360000067,SCORE_LOW,NEXT_DAY_OPEN
ANANTRAJ,2009-10-01,2009-10-08,56.5735,51.4454,184,-981.4342144000002,SCORE_LOW,NEXT_DAY_OPEN
ASAHIINDIA,2009-10-08,2009-10-15,70.763,65.7974,143,-747.7169128000023,SCORE_LOW,NEXT_DAY_OPEN
BAJFINANCE,2009-06-24,2009-11-03,1.338,2.2342,5914,5247.274564799998,TRAILING_STOP_20,NEXT_DAY_OPEN
AJANTPHARM,2009-11-03,2009-11-06,7.0187,6.9808,1547,-101.8284904000011,SCORE_LOW,NEXT_DAY_OPEN
ASTRAZEN,2009-10-05,2010-01-04,863.6988,887.8457,7,144.16862039999978,SCORE_LOW,NEXT_DAY_OPEN
CYIENT,2009-06-10,2010-01-08,62.7379,103.331,139,5584.988863999999,SCORE_LOW,NEXT_DAY_OPEN
OLECTRA,2010-01-08,2010-01-21,35.6654,29.0143,362,-2449.7109064000015,TRAILING_STOP_20,NEXT_DAY_OPEN
HINDZINC,2009-06-03,2010-02-08,23.0269,36.5281,400,5342.035040000001,TRAILING_STOP_20,NEXT_DAY_OPEN
AIAENG,2009-06-18,2010-03-02,199.388,300.6889,39,3903.8276315999983,SCORE_LOW,NEXT_DAY_OPEN
AKZOINDIA,2010-01-04,2010-03-16,397.9668,377.8237,19,-411.43350120000014,SCORE_LOW,NEXT_DAY_OPEN
ASHOKLEY,2009-11-06,2010-03-22,9.0723,9.5531,1261,558.1029636000003,SCORE_LOW,NEXT_DAY_OPEN
