symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_reason
ACC,2010-01-04,2010-01-05,722.5696,713.1974,13,-158.92486479999934,SCORE_LOW
ALOKINDS,2010-01-04,2010-01-12,21.8056,22.2179,456,147.48335040000165,SCORE_LOW
ATUL,2010-01-04,2010-01-28,81.7893,72.2023,121,-1194.9729131999993,TRAILING_STOP_20
ASAHIINDIA,2010-01-04,2010-02-05,66.7123,59.7302,149,-1075.9320991999994,TRAILING_STOP_20
BAJFINANCE,2010-01-04,2010-02-25,3.0281,2.5167,3289,-1715.1043051999986,TRAILING_STOP_20
ASHOKLEY,2010-01-04,2010-03-19,9.4896,9.8071,1049,291.90690840000025,SCORE_LOW
BAJAJHLDNG,2010-01-04,2010-05-06,454.9446,461.0067,21,88.57953720000114,SCORE_LOW
AARTIIND,2010-03-19,2010-05-13,8.9786,8.7842,1136,-260.75380479999876,SCORE_LOW
ENGINERSIN,2010-05-06,2010-05-18,146.9342,125.9117,65,-1399.1995420000003,TRAILING_STOP_20
UNOMINDA,2010-01-05,2010-05-19,8.5578,7.959,1172,-739.1053920000013,SCORE_LOW
APOLLOTYRE,2010-01-04,2010-05-20,42.4057,52.7183,234,2363.8040712,TRAILING_STOP_20
ADANIPORTS,2010-02-25,2010-06-21,122.664,131.8856,68,591.1959168000012,SCORE_LOW
ADANIENT,2010-01-04,2010-06-23,57.5536,68.4565,173,1838.8298020000002,SCORE_LOW
AMBUJACEM,2010-01-28,2010-06-28,79.2986,92.6698,117,1521.0609335999998,SCORE_LOW
ALKYLAMINE,2010-06-21,2010-08-06,12.5983,14.0714,815,1154.7037360000013,TRAILING_STOP_20
APARINDS,2010-05-18,2010-08-10,177.8906,167.7193,45,-487.8979739999995,SCORE_LOW
APOLLOHOSP,2010-01-04,2010-09-17,322.6132,384.0927,30,1798.293875999998,SCORE_LOW
ASHOKLEY,2010-05-13,2010-09-20,12.4381,14.1229,800,1302.6467200000006,SCORE_LOW
ADANIPOWER,2010-06-23,2010-09-20,24.3,27.85,445,1530.1769999999997,SCORE_LOW
ABBOTINDIA,2010-01-12,2010-09-21,653.5313,939.4247,15,4232.035518000002,SCORE_LOW
ASTRAZEN,2010-06-28,2010-09-28,974.8062,1060.3667,11,894.5093651999996,TRAILING_STOP_20
MAHSCOOTER,2010-08-10,2010-10-11,348.7814,294.9082,23,-1266.2151543999998,SCORE_LOW
ASIANPAINT,2010-02-05,2010-10-13,167.9852,232.8178,53,3386.7704264000004,SCORE_LOW
ADANIPORTS,2010-09-20,2010-10-18,156.0921,146.2731,71,-738.6905604000003,SCORE_LOW
CCL,2010-09-20,2010-11-16,26.4893,22.4322,469,-1944.8627072,TRAILING_STOP_20
AXISBANK,2010-09-21,2010-11-23,281.5012,261.447,43,-907.2994839999992,SCORE_LOW
ACE,2010-05-27,2010-11-25,40.8462,50.1976,248,2269.3511808000003,SCORE_LOW
AARTIIND,2010-10-11,2010-11-25,13.4853,12.4076,587,-661.7429448000003,TRAILING_STOP_20
ASAHIINDIA,2010-08-06,2010-11-26,73.2681,91.061,159,2771.156304,TRAILING_STOP_20
ALOKINDS,2010-10-13,2010-11-26,20.8227,24.3936,588,2042.3154527999995,TRAILING_STOP_20
ADANIPOWER,2010-11-25,2010-11-30,27.75,27.18,329,-223.29888000000028,SCORE_LOW
3MINDIA,2010-11-26,2010-12-06,3356.0676,3284.5344,3,-254.01401280000027,SCORE_LOW
ASTRAL,2010-09-28,2010-12-09,15.6663,13.0258,788,-2121.7713215999975,TRAILING_STOP_20
ADANIENT,2010-11-26,2010-12-13,75.2807,83.3162,149,1147.633044799999,SCORE_LOW
ABBOTINDIA,2010-11-25,2010-12-16,1181.0056,1058.3181,9,-1142.2869515999992,SCORE_LOW
BAJAJ-AUTO,2010-11-30,2010-12-22,1070.3312,980.9219,10,-933.3298760000016,SCORE_LOW
BATAINDIA,2010-11-16,2010-12-23,162.1641,152.9369,64,-629.6926463999989,SCORE_LOW
ASIANPAINT,2010-12-23,2010-12-24,260.0078,253.3275,42,-323.1316200000001,SCORE_LOW
BANKBARODA,2010-05-27,2010-12-27,108.7415,137.0642,93,2583.023217599999,SCORE_LOW
BAJFINANCE,2010-10-18,2010-12-31,6.7878,6.2845,1519,-802.697322,SCORE_LOW
BERGEPAINT,2010-12-13,2010-12-31,26.0698,27.6049,428,609.7632111999992,SCORE_LOW
AIAENG,2010-11-23,2011-01-04,393.399,364.2419,28,-857.1938928,SCORE_LOW
AMBUJACEM,2010-09-17,2011-01-06,112.6777,105.5637,102,-768.6979896000012,SCORE_LOW
BAJAJHLDNG,2010-12-24,2011-01-07,636.7664,579.3827,17,-1014.9209236000006,SCORE_LOW
AARTIIND,2010-12-27,2011-01-07,11.761,11.1519,942,-615.7925591999992,SCORE_LOW
BASF,2010-12-06,2011-01-19,598.6152,555.7527,19,-856.6247051999999,SCORE_LOW
BATAINDIA,2011-01-07,2011-02-01,171.3692,136.39,60,-2131.4856,TRAILING_STOP_20
