symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_reason
GMDCLTD,2007-10-15,2007-10-19,28.0559,27.2715,355,-317.18753000000106,SCORE_LOW
BLUESTARCO,2007-10-24,2007-10-26,143.8358,151.5719,68,484.82724319999943,SCORE_LOW
JINDALSAW,2007-10-29,2007-11-02,57.7804,63.474,172,935.6290879999997,SCORE_LOW
MRF,2007-10-29,2007-11-05,6929.3984,7362.2016,1,403.35439360000055,SCORE_LOW
PATANJALI,2007-11-02,2007-11-06,3887.2325,3807.5511,2,-189.82320879999952,SCORE_LOW
ENGINERSIN,2007-10-26,2007-11-07,39.4928,46.0684,252,1610.6142527999982,SCORE_LOW
JMFINANCIL,2007-11-05,2007-11-07,64.2263,54.3247,160,-1619.023808,SCORE_LOW
GODREJIND,2007-11-06,2007-11-08,231.3873,228.1283,44,-183.5465808000008,SCORE_LOW
FACT,2007-11-05,2007-11-12,36.5793,32.3931,281,-1212.7320444000015,SCORE_LOW
RCF,2007-11-14,2007-11-19,46.8273,50.5583,211,744.5697947999997,SCORE_LOW
MOTILALOFS,2007-11-15,2007-11-19,334.7962,307.5744,29,-825.110830399999,SCORE_LOW
FACT,2007-11-16,2007-11-21,45.749,45.749,217,-39.71013200000016,SCORE_LOW
HFCL,2007-11-20,2007-11-21,32.3223,30.0627,307,-730.6141955999992,SCORE_LOW
CENTURYPLY,2007-11-29,2007-12-04,48.4136,56.7006,202,1628.1599152,SCORE_LOW
KEI,2007-12-06,2007-12-10,86.9658,87.8623,114,62.13579119999849,SCORE_LOW
TRIDENT,2007-12-10,2007-12-13,2.2926,2.2689,4352,-142.6394111999998,SCORE_LOW
TECHNOE,2007-12-12,2007-12-14,243.6369,260.5562,41,650.9600831999978,SCORE_LOW
BERGEPAINT,2007-12-12,2007-12-17,16.7949,14.9862,594,-1109.9750112000002,SCORE_LOW
ADANIENT,2007-12-13,2007-12-17,59.2672,53.9768,168,-925.0596096000008,SCORE_LOW
CUB,2007-12-13,2007-12-17,21.5421,19.3293,462,-1058.0341464000012,SCORE_LOW
