date,pv
1996-01-01,1000000.0
1996-01-02,1000000.0
1996-01-03,1000000.0
1996-01-04,1000000.0
1996-01-05,1000000.0
1996-01-08,1000000.0
1996-01-09,1000000.0
1996-01-10,1000000.0
1996-01-11,1000000.0
1996-01-12,1000000.0
1996-01-15,1000000.0
1996-01-16,1000000.0
1996-01-17,999950.01998002
1996-01-18,999973.7851994408
1996-01-19,1000114.761012277
1996-01-22,999462.4254614274
1996-01-23,999021.7330238913
1996-01-24,998574.8634802694
1996-01-25,997944.8844274931
1996-01-26,997894.964347573
1996-01-29,996770.7686980766
1996-01-30,997025.125085728
1996-01-31,996565.0389793197
1996-02-01,995506.1503226528
1996-02-02,999913.3506738046
1996-02-05,1015944.7113969482
1996-02-06,1016742.9196625653
1996-02-07,1009872.4083423944
1996-02-08,1041290.7535401995
1996-02-09,1094937.498408314
1996-02-12,1101780.8244509264
1996-02-13,1113293.633282239
1996-02-14,1152522.8693792028
1996-02-15,1152480.499717185
1996-02-16,1138251.787098034
1996-02-19,1134239.7726959514
1996-02-20,1130571.3116936309
1996-02-21,1130571.3116936309
1996-02-22,1150984.655285966
1996-02-23,1154627.9704164898
1996-02-26,1159782.4765296842
1996-02-27,1155327.6021321935
1996-02-28,1154696.395286106
1996-02-29,1120596.816722287
1996-03-01,1124354.2293484944
1996-03-04,1126136.7247360556
1996-03-05,1126136.7247360556
1996-03-06,1127090.4160099502
1996-03-07,1125654.661727658
1996-03-08,1111259.1827276782
1996-03-11,1104910.655218564
1996-03-12,1098461.7935670575
1996-03-13,1100049.6170920231
1996-03-14,1103329.553726091
1996-03-15,1098789.5693857006
1996-03-18,1086510.0090045792
1996-03-19,1083035.1516784092
1996-03-20,1083035.1516784092
1996-03-21,1079175.872761446
1996-03-22,1075538.8254755968
1996-03-25,1073545.5189326173
1996-03-26,1078762.15760688
1996-03-27,1078259.850187757
1996-03-28,1093021.6690327022
1996-03-29,1090092.4458856152
1996-04-01,1095499.293163135
1996-04-02,1101379.0495425353
1996-04-03,1120123.9968908776
1996-04-04,1117168.6454041519
