date,pv
1996-01-01,1000000.0
1996-01-02,1000000.0
1996-01-03,1000000.0
1996-01-04,1000000.0
1996-01-05,1000000.0
1996-01-08,1000000.0
1996-01-09,1000000.0
1996-01-10,1000000.0
1996-01-11,1000000.0
1996-01-12,1000000.0
1996-01-15,1000000.0
1996-01-16,1000000.0
1996-01-17,999950.01998002
1996-01-18,999973.7851994408
1996-01-19,1000139.7510222669
1996-01-22,999506.2487537614
1996-01-23,999051.4313544673
1996-01-24,998653.1853931934
1996-01-25,998274.9589964979
1996-01-26,998225.0389165778
1996-01-29,997100.8432670814
1996-01-30,997355.1996547328
1996-01-31,996895.1135483246
1996-02-01,996063.398238582
1996-02-02,1000053.4459478364
1996-02-05,1014214.0616287665
1996-02-06,1013813.9223122708
1996-02-07,1009912.1007569977
1996-02-08,1026738.5305148084
1996-02-09,1052736.3833997531
1996-02-12,1053460.0949286097
1996-02-13,1059683.2822920664
1996-02-14,1077576.7589840065
1996-02-15,1077235.393640059
1996-02-16,1069185.89989679
1996-02-19,1067196.5734244578
1996-02-20,1062054.957127957
1996-02-21,1062054.957127957
1996-02-22,1071784.5591419323
1996-02-23,1073114.625030954
1996-02-26,1075236.702587428
1996-02-27,1073708.2146024497
1996-02-28,1072828.1622116636
1996-02-29,1056334.131733282
1996-03-01,1059583.2595298237
1996-03-04,1061282.455927832
1996-03-05,1061282.455927832
1996-03-06,1061506.202474109
1996-03-07,1060152.3469753833
1996-03-08,1054660.0312099296
1996-03-11,1050282.8497116973
1996-03-12,1047351.5712637324
1996-03-13,1051970.0365263023
1996-03-14,1053399.6760987171
1996-03-15,1050592.8090628176
1996-03-18,1044392.9673508704
1996-03-19,1041110.8824137888
1996-03-20,1041110.8824137888
1996-03-21,1044417.7294473443
1996-03-22,1041732.793492601
1996-03-25,1040458.9600293633
1996-03-26,1043345.5832856339
1996-03-27,1047051.1027566969
1996-03-28,1051917.4298079272
1996-03-29,1053045.6681449716
1996-04-01,1055211.8597242343
1996-04-02,1058999.3481126106
1996-04-03,1064015.1344074938
1996-04-04,1061440.7488848357
