date,pv
1996-01-01,1000000.0
1996-01-02,1000000.0
1996-01-03,1000000.0
1996-01-04,1000000.0
1996-01-05,1000000.0
1996-01-08,1000000.0
1996-01-09,1000000.0
1996-01-10,1000000.0
1996-01-11,1000000.0
1996-01-12,1000000.0
1996-01-15,1000000.0
1996-01-16,1000000.0
1996-01-17,1000000.0
1996-01-18,1000000.0
1996-01-19,1000000.0
1996-01-22,1000000.0
1996-01-23,1000000.0
1996-01-24,1000000.0
1996-01-25,1000000.0
1996-01-26,1000000.0
1996-01-29,1000000.0
1996-01-30,1000000.0
1996-01-31,1000000.0
1996-02-01,1000000.0
1996-02-02,1000000.0
1996-02-05,1000000.0
1996-02-06,1000000.0
1996-02-07,1000000.0
1996-02-08,1000000.0
1996-02-09,1000000.0
1996-02-12,1000000.0
1996-02-13,1000000.0
1996-02-14,1000000.0
1996-02-15,1000000.0
1996-02-16,1000000.0
1996-02-19,1000000.0
1996-02-20,1000000.0
1996-02-21,1000000.0
1996-02-22,1000000.0
1996-02-23,1000000.0
1996-02-26,1000000.0
1996-02-27,1000000.0
1996-02-28,1000000.0
1996-02-29,1000000.0
1996-03-01,1000000.0
1996-03-04,1000000.0
1996-03-05,1000000.0
1996-03-06,1000000.0
1996-03-07,1000000.0
1996-03-08,1000000.0
1996-03-11,1000000.0
1996-03-12,1000000.0
1996-03-13,1000000.0
1996-03-14,1000000.0
1996-03-15,999950.01998002
1996-03-18,999950.01998002
1996-03-19,1000239.2275425348
1996-03-20,1000239.2275425348
1996-03-21,1000239.2275425348
1996-03-22,1000214.2375325448
1996-03-25,1000214.2375325448
1996-03-26,1000214.2375325448
1996-03-27,1000214.2375325448
1996-03-28,1000114.2774925848
1996-03-29,998977.7359413343
1996-04-01,999292.9384114366
1996-04-02,999287.4658006682
1996-04-03,999888.6462459256
1996-04-04,999901.8149669588
1996-04-05,999120.993858477
1996-04-08,1001587.2227603236
1996-04-09,1002446.6578870931
1996-04-10,1003501.8374510009
1996-04-11,1003689.8424246672
1996-04-12,1004262.1139835544
1996-04-15,1009656.7063018641
