instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_EQ|IN2920250163,758718,749RJ35,SDL RJ 7.49% 2035,0.0,,,0.01,100.0,EQUITY,,NSE_EQ
NSE_EQ|IN2920250171,758723,757RJ43,SDL RJ 7.57% 2043,0.0,,,0.01,100.0,EQUITY,,NSE_EQ
NSE_FO|50917,50917,MIDCPNIFTY26OCT15225PE,MIDCPNIFTY,921.0,2026-10-27,15225.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|50918,50918,MIDCPNIFTY26OCT15250CE,MIDCPNIFTY,456.65,2026-10-27,15250.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_EQ|IN2920250148,757833,715RJ53,SDL RJ 7.15% 2053,0.0,,,0.01,100.0,EQUITY,,NSE_EQ
NSE_EQ|IN2920250155,758197,717RJ52,SDL RJ 7.17% 2052,0.0,,,0.01,100.0,EQUITY,,NSE_EQ
NSE_FO|50900,50900,MIDCPNIFTY26OCT15200CE,MIDCPNIFTY,474.95,2026-10-27,15200.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|50901,50901,MIDCPNIFTY26OCT15200PE,MIDCPNIFTY,905.6,2026-10-27,15200.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|50902,50902,MIDCPNIFTY26OCT15225CE,MIDCPNIFTY,465.75,2026-10-27,15225.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_EQ|INE0LLY01014,27213,EIEL,ENVIRO INFRA ENGINEERS L,194.73,,,0.01,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE0J1E01027,10296,KCK,KCK INDUSTRIES LTD,15.2,,,0.05,2500.0,EQUITY,,NSE_EQ
NSE_EQ|IN1320210025,3695,645BR27,SDL BR 6.45% 2027,0.0,,,0.01,100.0,EQUITY,,NSE_EQ
NSE_EQ|IN1320210017,3650,639BR27,SDL BR 6.39% 2027,0.0,,,0.01,100.0,EQUITY,,NSE_EQ
NSE_EQ|IN2920250189,758665,754RJ53,SDL RJ 7.54% 2053,0.0,,,0.01,100.0,EQUITY,,NSE_EQ
NSE_EQ|IN2920250197,758919,773RJ55,SDL RJ 7.73% 2055,0.0,,,0.01,100.0,EQUITY,,NSE_EQ
NSE_EQ|INE585B01010,10999,MARUTI,MARUTI SUZUKI INDIA LTD.,13565.0,,,1.0,1.0,EQUITY,,NSE_EQ
NSE_FO|98917,98917,OFSS26OCT11000CE,ORACLE FIN SERV SOFT LTD.,1187.05,2026-10-27,11000.0,0.05,100.0,OPTSTK,CE,NSE_FO
NSE_FO|98918,98918,CROMPTON26SEP240PE,CROMPT GREA CON ELEC LTD,4.2,2026-09-29,240.0,0.05,2150.0,OPTSTK,PE,NSE_FO
NSE_FO|98919,98919,CROMPTON26SEP250CE,CROMPT GREA CON ELEC LTD,10.2,2026-09-29,250.0,0.05,2150.0,OPTSTK,CE,NSE_FO
NSE_FO|98913,98913,OFSS26OCT10600CE,ORACLE FIN SERV SOFT LTD.,1415.55,2026-10-27,10600.0,0.05,100.0,OPTSTK,CE,NSE_FO
NSE_FO|98914,98914,OFSS26OCT10600PE,ORACLE FIN SERV SOFT LTD.,522.35,2026-10-27,10600.0,0.05,100.0,OPTSTK,PE,NSE_FO
NSE_FO|98915,98915,OFSS26OCT10800CE,ORACLE FIN SERV SOFT LTD.,1297.85,2026-10-27,10800.0,0.05,100.0,OPTSTK,CE,NSE_FO
NSE_FO|98916,98916,OFSS26OCT10800PE,ORACLE FIN SERV SOFT LTD.,601.65,2026-10-27,10800.0,0.05,100.0,OPTSTK,PE,NSE_FO
NSE_FO|59312,59312,BANKNIFTY26AUG63800CE,BANKNIFTY,0.7,2026-08-25,63800.0,0.05,30.0,OPTIDX,CE,NSE_FO
NSE_FO|59313,59313,BANKNIFTY26AUG63800PE,BANKNIFTY,8088.8,2026-08-25,63800.0,0.05,30.0,OPTIDX,PE,NSE_FO
NSE_FO|98910,98910,OFSS26OCT10200PE,ORACLE FIN SERV SOFT LTD.,384.65,2026-10-27,10200.0,0.05,100.0,OPTSTK,PE,NSE_FO
NSE_FO|59314,59314,BANKNIFTY26AUG63900CE,BANKNIFTY,0.55,2026-08-25,63900.0,0.05,30.0,OPTIDX,CE,NSE_FO
NSE_FO|98911,98911,OFSS26OCT10400CE,ORACLE FIN SERV SOFT LTD.,1540.05,2026-10-27,10400.0,0.05,100.0,OPTSTK,CE,NSE_FO
NSE_FO|59315,59315,BANKNIFTY26AUG63900PE,BANKNIFTY,8177.75,2026-08-25,63900.0,0.05,30.0,OPTIDX,PE,NSE_FO
NSE_FO|98912,98912,OFSS26OCT10400PE,ORACLE FIN SERV SOFT LTD.,449.85,2026-10-27,10400.0,0.05,100.0,OPTSTK,PE,NSE_FO
NSE_FO|59310,59310,BLUESTARCO26OCT1560PE,BLUE STAR LIMITED,80.85,2026-10-27,1560.0,0.05,325.0,OPTSTK,PE,NSE_FO
NSE_FO|59311,59311,BLUESTARCO26OCT1600CE,BLUE STAR LIMITED,167.05,2026-10-27,1600.0,0.05,325.0,OPTSTK,CE,NSE_FO
NSE_FO|59309,59309,BLUESTARCO26OCT1560CE,BLUE STAR LIMITED,189.45,2026-10-27,1560.0,0.05,325.0,OPTSTK,CE,NSE_FO
